State Name ,District Name,Urban Local Bodies (Municipality/Munipal Corparation/Nac,Block,Rural Local Bodies (Gp/Ward),Total_IGNDPS
Odisha ,Baleshwar,NA,Baleshwar,Haldipada,17.51
Odisha ,Baleshwar,NA,Baleshwar,Kasafal,9.07
Odisha ,Baleshwar,NA,Baleshwar,Nagram,1.13
Odisha ,Baleshwar,NA,Baleshwar,Rasalpur,10.21
Odisha ,Baleshwar,NA,Baleshwar,Olanda Sargan,34.9
Odisha ,Baleshwar,NA,Baleshwar,Gudu,4.54
Odisha ,Baleshwar,NA,Baleshwar,Sindhia,18.02
Odisha ,Baleshwar,NA,Baleshwar,Sargan,4.54
Odisha ,Baleshwar,NA,Baleshwar,Gopinathpur,11.34
Odisha ,Baleshwar,NA,Baleshwar,Rasulpur,4.54
Odisha ,Baleshwar,NA,Baleshwar,Padmapur,9.07
Odisha ,Baleshwar,NA,Baleshwar,Srikona,7.94
Odisha ,Baleshwar,NA,Baleshwar,Sasang,1.47
Odisha ,Baleshwar,NA,Baleshwar,Patrapada,20.03
Odisha ,Baleshwar,NA,Baleshwar,Anko,8.95
Odisha ,Baleshwar,NA,Baleshwar,Alomeda,3.4
Odisha ,Baleshwar,NA,Baleshwar,Panchapada,1.13
Odisha ,Baleshwar,NA,Baleshwar,Dubulagadi,15.9
Odisha ,Baleshwar,NA,Baleshwar,Bardhanpur,6.8
Odisha ,Baleshwar,NA,Baleshwar,Khannagar,6.8
Odisha ,Baleshwar,NA,Baleshwar,Raisuna,7.94
Odisha ,Baleshwar,NA,Baleshwar,Baincha,22.3
Odisha ,Baleshwar,NA,Baleshwar,Chandipur,5.67
Odisha ,Baleshwar,NA,Baleshwar,Total,374.65
Odisha ,Baleshwar,Baliapal,NA,Aladiha,2.35
Odisha ,Baleshwar,Baliapal,NA,Asti,6.03
Odisha ,Baleshwar,Baliapal,NA,Bodas,4.61
Odisha ,Baleshwar,Baliapal,NA,Baliapal,0.75
Odisha ,Baleshwar,Baliapal,NA,Balikuti,2.22
Odisha ,Baleshwar,Baliapal,NA,Baniadiha,0.73
Odisha ,Baleshwar,Baliapal,NA,Betagadia,1.48
Odisha ,Baleshwar,Baliapal,NA,Bishnupur,2.98
Odisha ,Baleshwar,Baliapal,NA,Bolang,1.98
Odisha ,Baleshwar,Baliapal,NA,Chaumukh,2.51
Odisha ,Baleshwar,Baliapal,NA,Dagara,1.62
Odisha ,Baleshwar,Baliapal,NA,Debhog,1.22
Odisha ,Baleshwar,Baliapal,NA,Deula,1.81
Odisha ,Baleshwar,Baliapal,NA,Ghantua,1.93
Odisha ,Baleshwar,Baliapal,NA,Jagatipur,1.91
Odisha ,Baleshwar,Baliapal,NA,Jamakunda,1.62
Odisha ,Baleshwar,Baliapal,NA,Jambhirai,2.37
Odisha ,Baleshwar,Baliapal,NA,Kumbhari,1.18
Odisha ,Baleshwar,Baliapal,NA,Kunduli,0.59
Odisha ,Baleshwar,Baliapal,NA,Madhupura,5.92
Odisha ,Baleshwar,Baliapal,NA,Nikhira,9.14
Odisha ,Baleshwar,Baliapal,NA,Nuagaon,1.65
Odisha ,Baleshwar,Baliapal,NA,Panchupalli,1.91
Odisha ,Baleshwar,Baliapal,NA,Pratappur,1.97
Odisha ,Baleshwar,Baliapal,NA,Srirampur,2.37
Odisha ,Baleshwar,Baliapal,NA,Ratei,3.14
Odisha ,Baleshwar,Baliapal,NA,Balarampur,1.34
Odisha ,Baleshwar,Baliapal,NA,Saudi,0.73
Odisha ,Baleshwar,Baliapal,NA,Total,68.06
Odisha ,Baleshwar,NA,Basta,Santoshpur,2.31
Odisha ,Baleshwar,NA,Basta,Mukulisi,1.26
Odisha ,Baleshwar,NA,Basta,Natakata,2.94
Odisha ,Baleshwar,NA,Basta,Nabara,2.73
Odisha ,Baleshwar,NA,Basta,Chormara,1.89
Odisha ,Baleshwar,NA,Basta,Routpada,1.54
Odisha ,Baleshwar,NA,Basta,Gadapada,2.85
Odisha ,Baleshwar,NA,Basta,Darada,0.15
Odisha ,Baleshwar,NA,Basta,Sadanandapur,1.26
Odisha ,Baleshwar,NA,Basta,Putura,2.1
Odisha ,Baleshwar,NA,Basta,Purusottampur,0.47
Odisha ,Baleshwar,NA,Basta,Mathani,1.89
Odisha ,Baleshwar,NA,Basta,Brahmanda,1.85
Odisha ,Baleshwar,NA,Basta,Kulida,1.88
Odisha ,Baleshwar,NA,Basta,Paunskuli,1.26
Odisha ,Baleshwar,NA,Basta,Singla,0.63
Odisha ,Baleshwar,NA,Basta,Sahada,2.67
Odisha ,Baleshwar,NA,Basta,Irda,1.05
Odisha ,Baleshwar,NA,Basta,Baharda,1.3
Odisha ,Baleshwar,NA,Basta,Tadada,0.84
Odisha ,Baleshwar,NA,Basta,Raghunathpur,3.5
Odisha ,Baleshwar,NA,Basta,Naikudi,0.3
