s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,bolangir,bangomunda,23,mundapadar,-0.04,47.93,36.48,11.44,0,0,47.93,0.01,0.45,68,bolangir,bangomunda,mundapadar
odisha,bolangir,bangomunda,24,sindhekela,4.19,45.07,25.4,15.4,0,0,40.79,4.27,0.07,69,bolangir,bangomunda,sindhekela
odisha,bolangir,bangomunda,25,themra,-0.21,100.17,67.62,32.58,0,0,100.2,-0.04,2.35,70,bolangir,bangomunda,themra
odisha,bolangir,bangomunda,26,turekela,0,25.43,18.19,7.24,0,0,25.43,0,0.09,71,bolangir,bangomunda,turekela
odisha,bolangir,belpara,1,bagdor,-0.15,37.59,28.35,9.37,0,0,37.72,-0.13,0.14,72,bolangir,belpara,bagdor
odisha,bolangir,belpara,2,bahabal,-0.24,10.75,10.99,0,0,0,10.99,-0.24,0,73,bolangir,belpara,bahabal
odisha,bolangir,belpara,3,balikhamar,0,1.31,1.31,0,0,0,1.31,0,0.14,74,bolangir,belpara,balikhamar
odisha,bolangir,belpara,4,beheramunda,0.67,5.24,4.57,0,0,0,4.57,0.67,0.2,75,bolangir,belpara,beheramunda
odisha,bolangir,belpara,5,belpada,3.01,27.35,23.08,1.25,0,0,24.34,3.01,0.25,76,bolangir,belpara,belpada
odisha,bolangir,belpara,6,bharuapali,-0.08,20.45,16.31,4.22,0,0,20.53,-0.08,0.36,77,bolangir,belpara,bharuapali
odisha,bolangir,belpara,7,darlipali,0,15.52,13.04,1.85,0,0,14.89,0.63,0.08,78,bolangir,belpara,darlipali
odisha,bolangir,belpara,8,dhumabhata,1.14,23.22,22.07,0,0,0,22.07,1.15,0.52,79,bolangir,belpara,dhumabhata
odisha,bolangir,belpara,9,gambhari,0.71,12.79,9.06,3.02,0,0,12.08,0.71,0.83,80,bolangir,belpara,gambhari
odisha,bolangir,belpara,10,ghagurli,2.95,34.73,28.01,3.48,0,0,31.49,3.23,2.09,81,bolangir,belpara,ghagurli
odisha,bolangir,belpara,11,juba,1.41,9.35,7.94,0,0,0,7.94,1.41,0.12,82,bolangir,belpara,juba
odisha,bolangir,belpara,12,kandhenjhula,0.46,10.22,9.74,0,0,0,9.74,0.48,0,83,bolangir,belpara,kandhenjhula
odisha,bolangir,belpara,13,kanut,-0.8,15.48,16.21,0,0,0,16.21,-0.73,0,84,bolangir,belpara,kanut
odisha,bolangir,belpara,14,kapani,0.21,7.66,7.43,0,0,0,7.43,0.23,0.09,85,bolangir,belpara,kapani
odisha,bolangir,belpara,15,madhyapur,1.92,4.1,2.18,0,0,0,2.18,1.92,0.09,86,bolangir,belpara,madhyapur
odisha,bolangir,belpara,16,mandal,0.32,33.75,25.72,7.74,0,0,33.47,0.29,0.16,87,bolangir,belpara,mandal
odisha,bolangir,belpara,17,nunhad,1.84,22.51,19.98,0.69,0,0,20.67,1.84,0.13,88,bolangir,belpara,nunhad
odisha,bolangir,belpara,18,pandrijore,2.55,12.47,9.92,0,0,0,9.92,2.55,0.03,89,bolangir,belpara,pandrijore
odisha,bolangir,belpara,19,parlimal,1.22,15.18,10.38,3.55,0,0,13.93,1.25,0.04,90,bolangir,belpara,parlimal
odisha,bolangir,belpara,20,salendi,-0.04,6.83,6.87,0,0,0,6.87,-0.04,0.07,91,bolangir,belpara,salendi
odisha,bolangir,belpara,21,sarmuhan,4.86,20.72,15.87,0,0,0,15.87,4.86,0.24,92,bolangir,belpara,sarmuhan
odisha,bolangir,belpara,22,sihini,3.94,12.64,8.7,0,0,0,8.7,3.94,0.08,93,bolangir,belpara,sihini
odisha,bolangir,belpara,23,sulekela,-0.14,14.62,14.68,0,0,0,14.68,-0.05,0.08,94,bolangir,belpara,sulekela
odisha,bolangir,belpara,24,tentelmunda,-2.41,20.08,22.49,0,0,0,22.48,-2.41,0.06,95,bolangir,belpara,tentelmunda
odisha,bolangir,deogaon,1,arjunpur,-0.27,10.26,10.12,0.19,0,0,10.31,-0.06,0.12,96,bolangir,deogaon,arjunpur
odisha,bolangir,deogaon,2,badbahal,-0.07,20.78,15.48,5.35,0,0,20.83,-0.05,0.01,97,bolangir,deogaon,badbahal
odisha,bolangir,deogaon,3,badbandh,1.66,16.85,13.9,1.29,0,0,15.19,1.66,0,98,bolangir,deogaon,badbandh
odisha,bolangir,deogaon,4,bandhpara,0.97,11.8,9.51,1.26,0,0,10.77,1.03,0.19,99,bolangir,deogaon,bandhpara
odisha,bolangir,deogaon,5,brahmanijore,9.2,21.38,10.45,1.84,0,0,12.29,9.09,0.72,100,bolangir,deogaon,brahmanijore
odisha,bolangir,deogaon,6,deogaon,0.03,20.12,18.34,1.73,0,0,20.07,0.05,0.43,101,bolangir,deogaon,deogaon
