s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,cuttack,narasinghpur,4,balijhari,0,18.77,25.87,18.33,0,0,44.2,-25.42,0.04,5547,cuttack,narasinghpur,balijhari
odisha,cuttack,narasinghpur,5,balisahi,0,12.48,19.23,4.96,0,0,24.19,-11.71,0.08,5548,cuttack,narasinghpur,balisahi
odisha,cuttack,narasinghpur,6,bandhahuda,0,4.89,10.15,1.64,0,0,11.79,-6.9,0.5,5549,cuttack,narasinghpur,bandhahuda
odisha,cuttack,narasinghpur,7,basantpur,0,18.13,24.13,7.36,0,0,31.49,-13.36,0.31,5550,cuttack,narasinghpur,basantpur
odisha,cuttack,narasinghpur,8,baselihata,0,41.47,15.51,29.95,0,0,45.46,-3.99,0.11,5551,cuttack,narasinghpur,baselihata
odisha,cuttack,narasinghpur,9,bokada,0,0,3.55,0.45,0,0,4.01,-4.01,0.04,5552,cuttack,narasinghpur,bokada
odisha,cuttack,narasinghpur,10,chakamunda,0,3.15,6.5,0.77,0,0,7.27,-4.12,0.1,5553,cuttack,narasinghpur,chakamunda
odisha,cuttack,narasinghpur,11,champeswar,0,0.16,6.77,0,0,0,6.77,-6.61,0,5554,cuttack,narasinghpur,champeswar
odisha,cuttack,narasinghpur,12,debabhuin,0,5.57,15.93,1.04,0,0,16.97,-11.4,0.02,5555,cuttack,narasinghpur,debabhuin
odisha,cuttack,narasinghpur,13,ekadal,0,3.55,4.78,0.84,0,0,5.62,-2.07,0.12,5556,cuttack,narasinghpur,ekadal
odisha,cuttack,narasinghpur,14,godibandha,0,4.54,2.74,2.48,0,0,5.21,-0.68,0,5557,cuttack,narasinghpur,godibandha
odisha,cuttack,narasinghpur,15,jayamangal,0,8.28,11.92,0.65,0,0,12.58,-4.3,0.24,5558,cuttack,narasinghpur,jayamangal
odisha,cuttack,narasinghpur,16,jodumu,0,9.94,16.16,0,0,0,16.16,-6.22,0.05,5559,cuttack,narasinghpur,jodumu
odisha,cuttack,narasinghpur,17,kakudia,0,6.36,9.68,0,0,0,9.68,-3.33,0.07,5560,cuttack,narasinghpur,kakudia
odisha,cuttack,narasinghpur,18,kamaladihi,0,18.02,16.15,11.1,0,0,27.25,-9.23,0.37,5561,cuttack,narasinghpur,kamaladihi
odisha,cuttack,narasinghpur,19,kanjiapada,0,4.09,2.83,3.06,0,0,5.89,-1.8,0.02,5562,cuttack,narasinghpur,kanjiapada
odisha,cuttack,narasinghpur,20,kanpur,0,8.84,11.48,0.72,0,0,12.19,-3.35,0.05,5563,cuttack,narasinghpur,kanpur
odisha,cuttack,narasinghpur,21,kathakhunta,0,16.79,18.59,0.69,0,0,19.28,-2.48,0.24,5564,cuttack,narasinghpur,kathakhunta
odisha,cuttack,narasinghpur,22,kokalaba,0,0,2.93,0.22,0,0,3.14,-3.14,0.07,5565,cuttack,narasinghpur,kokalaba
odisha,cuttack,narasinghpur,23,nimasahi,0,14.51,28.31,0.21,0,0,28.52,-14.01,0.21,5566,cuttack,narasinghpur,nimasahi
odisha,cuttack,narasinghpur,24,nizigargh,0,6.93,14.36,1.01,0,0,15.36,-8.43,0.07,5567,cuttack,narasinghpur,nizigargh
odisha,cuttack,narasinghpur,25,nuapatna,0,11.86,15.53,1.16,0,0,16.69,-4.82,0.01,5568,cuttack,narasinghpur,nuapatna
odisha,cuttack,narasinghpur,26,nukhapada,0,16.66,17.5,4.3,0,0,21.8,-5.14,0.17,5569,cuttack,narasinghpur,nukhapada
odisha,cuttack,narasinghpur,27,olaba,0,15.24,12.88,6.93,0,0,19.81,-4.57,0.11,5570,cuttack,narasinghpur,olaba
odisha,cuttack,narasinghpur,28,padamal,0,8.8,9.27,2.88,0,0,12.15,-3.35,0.22,5571,cuttack,narasinghpur,padamal
odisha,cuttack,narasinghpur,29,paikabarabati,0,11.84,14.96,0.33,0,0,15.29,-3.45,0.23,5572,cuttack,narasinghpur,paikabarabati
odisha,cuttack,narasinghpur,30,paikapadapatana,0,1.44,1,1.22,0,0,2.23,-0.79,0.01,5573,cuttack,narasinghpur,paikapadapatana
odisha,cuttack,narasinghpur,31,phulapada,0,9.01,10.24,0,0,0,10.24,-1.23,0.38,5574,cuttack,narasinghpur,phulapada
odisha,cuttack,narasinghpur,32,ranasinghpur,0,21.18,26.18,1.4,0,0,27.59,-6.41,0.25,5575,cuttack,narasinghpur,ranasinghpur
odisha,cuttack,narasinghpur,33,regeda,0,24.14,33.3,2.22,0,0,35.52,-11.38,0.42,5576,cuttack,narasinghpur,regeda
odisha,cuttack,narasinghpur,34,rusipada,0,0.63,5.47,2.63,0,0,8.11,-7.47,0.02,5577,cuttack,narasinghpur,rusipada
odisha,cuttack,narasinghpur,35,sagar,0,28.46,32.3,0.73,0,0,33.03,-4.57,1.06,5578,cuttack,narasinghpur,sagar
odisha,cuttack,narasinghpur,36,saradhapur,0,32.08,39,7.4,0,0,46.39,-14.31,0.36,5579,cuttack,narasinghpur,saradhapur
odisha,cuttack,narasinghpur,37,siaria,0,1.81,4.84,1.62,0,0,6.46,-4.65,0.05,5580,cuttack,narasinghpur,siaria
odisha,cuttack,niali,1,alana,0,5.45,8.97,2.95,0,0,11.92,-6.47,0.19,5581,cuttack,niali,alana
odisha,cuttack,niali,2,anlo,0,0.31,2.45,0.55,0,0,2.99,-2.69,0,5582,cuttack,niali,anlo
odisha,cuttack,niali,3,baharana,0,6.85,6.85,0,0,0,6.85,0,0.1,5583,cuttack,niali,baharana
odisha,cuttack,niali,4,bilasuni,0,2.38,2.57,0.55,0,0,3.11,-0.73,0.09,5584,cuttack,niali,bilasuni
odisha,cuttack,niali,5,binisipur,0,2.61,8.22,1.09,0,0,9.31,-6.7,0.16,5585,cuttack,niali,binisipur
odisha,cuttack,niali,6,ekaberuan,0,2.31,2.32,0.11,0,0,2.43,-0.12,0.01,5586,cuttack,niali,ekaberuan
odisha,cuttack,niali,7,erancha,0,0.58,4.4,0,0,0,4.4,-3.82,0.02,5587,cuttack,niali,erancha
odisha,cuttack,niali,8,jallarpur,0,2.01,7.16,1.64,0,0,8.8,-6.78,0.12,5588,cuttack,niali,jallarpur
odisha,cuttack,niali,9,kapasi,0,1.51,3.37,0,0,0,3.37,-1.86,0.03,5589,cuttack,niali,kapasi
odisha,cuttack,niali,10,kasarada,0,1.02,2.01,0.22,0,0,2.23,-1.2,0.01,5590,cuttack,niali,kasarada
odisha,cuttack,niali,11,krushnaprasad,0,3.5,4.04,0.11,0,0,4.14,-0.64,0.09,5591,cuttack,niali,krushnaprasad
odisha,cuttack,niali,12,madhab,0,2.2,2.48,0.11,0,0,2.59,-0.39,0.06,5592,cuttack,niali,madhab
odisha,cuttack,niali,13,niali,0,3.49,3.42,0.21,0,0,3.63,-0.14,0.02,5593,cuttack,niali,niali
odisha,cuttack,niali,14,nivarana,0,2.3,4.07,0,0,0,4.07,-1.77,0.31,5594,cuttack,niali,nivarana
odisha,cuttack,niali,15,nuagoan,0,2.84,3.33,1.75,0,0,5.07,-2.23,0.03,5595,cuttack,niali,nuagoan
odisha,cuttack,niali,16,pahanga,0,0.23,3.16,1.09,0,0,4.25,-4.02,0,5596,cuttack,niali,pahanga
odisha,cuttack,niali,17,pokharigoan,0,8.42,6.22,3.08,0,0,9.3,-0.89,0.09,5597,cuttack,niali,pokharigoan
odisha,cuttack,niali,18,raniola,0,0.04,0.28,0.33,0,0,0.61,-0.57,0.01,5598,cuttack,niali,raniola
odisha,cuttack,niali,19,ratnapur,0,0.06,0.06,0,0,0,0.06,0,0,5599,cuttack,niali,ratnapur
odisha,cuttack,niali,20,sadhansa,0,0.76,3.55,1.96,0,0,5.51,-4.75,0.03,5600,cuttack,niali,sadhansa
odisha,cuttack,niali,21,sagadailo,0,1.23,1.82,0.36,0,0,2.18,-0.95,0.01,5601,cuttack,niali,sagadailo
odisha,cuttack,niali,22,sithalo,0,2.7,3.88,0,0,0,3.88,-1.18,0.13,5602,cuttack,niali,sithalo
odisha,cuttack,niali,23,tihuda,0,0.07,1.08,0,0,0,1.08,-1.01,0.06,5603,cuttack,niali,tihuda
odisha,cuttack,nischintakoili,1,asureswar,0,3.83,7.68,1,0,0,8.68,-4.85,0.15,5604,cuttack,nischintakoili,asureswar
odisha,cuttack,nischintakoili,2,babujanga,0,0.07,2.12,0,0,0,2.12,-2.05,0.05,5605,cuttack,nischintakoili,babujanga
odisha,cuttack,nischintakoili,3,badakhira,0,0.41,3.57,0,0,0,3.57,-3.16,0.04,5606,cuttack,nischintakoili,badakhira
odisha,cuttack,nischintakoili,4,baliapada,0,3.2,6.69,5,0,0,11.69,-8.5,0.06,5607,cuttack,nischintakoili,baliapada
odisha,cuttack,nischintakoili,5,bandhakatia,0,4.54,10.57,0,0,0,10.57,-6.03,0.02,5608,cuttack,nischintakoili,bandhakatia
odisha,cuttack,nischintakoili,6,bandhupur,0,0.76,1.66,0,0,0,1.66,-0.9,0.02,5609,cuttack,nischintakoili,bandhupur
odisha,cuttack,nischintakoili,7,barado,0,0.12,0.82,0.09,0,0,0.92,-0.8,0,5610,cuttack,nischintakoili,barado
odisha,cuttack,nischintakoili,8,buhalo,0,1.23,2.99,0,0,0,2.99,-1.76,0.02,5611,cuttack,nischintakoili,buhalo
odisha,cuttack,nischintakoili,9,daudpur,0,54.03,58.59,25.22,0,0,83.81,-29.78,0.65,5612,cuttack,nischintakoili,daudpur
odisha,cuttack,nischintakoili,10,fagola,0,1.18,2.75,1.94,0,0,4.7,-3.51,0,5613,cuttack,nischintakoili,fagola
odisha,cuttack,nischintakoili,11,isaniberhampur,0,0,2.74,8.65,0,0,11.4,-11.4,0.07,5614,cuttack,nischintakoili,isaniberhampur
odisha,cuttack,nischintakoili,12,jairampur,0,3,5.33,0.32,0,0,5.64,-2.65,0.08,5615,cuttack,nischintakoili,jairampur
odisha,cuttack,nischintakoili,13,jamara,0,5.44,9.48,0,0,0,9.48,-4.04,0.08,5616,cuttack,nischintakoili,jamara
odisha,cuttack,nischintakoili,14,janardanpur,0,1.84,2.96,0,0,0,2.96,-1.12,0,5617,cuttack,nischintakoili,janardanpur
odisha,cuttack,nischintakoili,15,jhadeswarpur,0,0,1.74,5.29,0,0,7.03,-7.03,0.02,5618,cuttack,nischintakoili,jhadeswarpur
odisha,cuttack,nischintakoili,16,jignipur,0,5.12,4.81,6.9,0,0,11.71,-6.59,0.02,5619,cuttack,nischintakoili,jignipur
odisha,cuttack,nischintakoili,17,kalamishri,0,0.78,3.79,2.22,0,0,6,-5.23,0.07,5620,cuttack,nischintakoili,kalamishri
odisha,cuttack,nischintakoili,18,katarpara,0,0.44,1.51,1.59,0,0,3.1,-2.66,0.04,5621,cuttack,nischintakoili,katarpara
odisha,cuttack,nischintakoili,19,katikata,0,1.45,8.42,0.21,0,0,8.63,-7.19,0.01,5622,cuttack,nischintakoili,katikata
odisha,cuttack,nischintakoili,20,kendupatana,0,6,5.95,9.23,0,0,15.18,-9.18,0.03,5623,cuttack,nischintakoili,kendupatana
odisha,cuttack,nischintakoili,21,kentalo,0,4.46,4.64,3.04,0,0,7.68,-3.22,0.13,5624,cuttack,nischintakoili,kentalo
odisha,cuttack,nischintakoili,22,kerilo,0,9.38,10.54,0.64,0,0,11.18,-1.81,0.03,5625,cuttack,nischintakoili,kerilo
odisha,cuttack,nischintakoili,23,kolanpur,0,0.98,1.2,0.46,0,0,1.66,-0.68,0,5626,cuttack,nischintakoili,kolanpur
odisha,cuttack,nischintakoili,24,mahammadpur,0,0.7,1.77,0,0,0,1.77,-1.06,0,5627,cuttack,nischintakoili,mahammadpur
odisha,cuttack,nischintakoili,25,manijanga,0,0.08,1.45,0,0,0,1.45,-1.38,0.03,5628,cuttack,nischintakoili,manijanga
odisha,cuttack,nischintakoili,26,manpur,0,1.93,2.5,0,0,0,2.5,-0.57,0,5629,cuttack,nischintakoili,manpur
odisha,cuttack,nischintakoili,27,nagaspur,0,3.14,5.83,5.59,0,0,11.41,-8.27,0.04,5630,cuttack,nischintakoili,nagaspur
odisha,cuttack,nischintakoili,28,narendrapur,0,3.45,7.52,0,0,0,7.52,-4.07,0.02,5631,cuttack,nischintakoili,narendrapur
odisha,cuttack,nischintakoili,29,natakai,0,2.18,2.56,0.11,0,0,2.66,-0.48,0.04,5632,cuttack,nischintakoili,natakai
odisha,cuttack,nischintakoili,30,nemalo,0,0.18,3.06,0,0,0,3.06,-2.87,0,5633,cuttack,nischintakoili,nemalo
odisha,cuttack,nischintakoili,31,nischintakoili,0,1.88,1.91,1.35,0,0,3.26,-1.38,0,5634,cuttack,nischintakoili,nischintakoili
odisha,cuttack,nischintakoili,32,orti,0,2.99,9.03,8.31,0,0,17.34,-14.35,0.09,5635,cuttack,nischintakoili,orti
odisha,cuttack,nischintakoili,33,palada,0,0.68,1.4,0,0,0,1.4,-0.72,0.07,5636,cuttack,nischintakoili,palada
odisha,cuttack,nischintakoili,34,ramakrushnpur,0,5.63,6.99,1.14,0,0,8.13,-2.5,0,5637,cuttack,nischintakoili,ramakrushnpur
odisha,cuttack,nischintakoili,35,santapur,0,0.36,4.65,2.62,0,0,7.27,-6.91,0.02,5638,cuttack,nischintakoili,santapur
odisha,cuttack,nischintakoili,36,sarapada,0,1.4,5.84,0,0,0,5.84,-4.44,0.07,5639,cuttack,nischintakoili,sarapada
odisha,cuttack,nischintakoili,37,sirlo,0,2,3.64,0,0,0,3.64,-1.64,0.07,5640,cuttack,nischintakoili,sirlo
odisha,cuttack,nischintakoili,38,sukarpada,0,2.8,5.65,4.63,0,0,10.28,-7.49,0.02,5641,cuttack,nischintakoili,sukarpada
odisha,cuttack,nischintakoili,39,tarota,0,3.95,9.26,0,0,0,9.26,-5.3,0.07,5642,cuttack,nischintakoili,tarota
odisha,cuttack,nischintakoili,40,tilakana,0,0.39,3.81,4.49,0,0,8.31,-7.92,0,5643,cuttack,nischintakoili,tilakana
odisha,cuttack,nischintakoili,41,uttarkul,0,0.83,1.59,0,0,0,1.59,-0.75,0.01,5644,cuttack,nischintakoili,uttarkul
odisha,cuttack,nischintakoili,42,taratasasan,NA,NA,NA,NA,NA,NA,NA,NA,NA,5645,cuttack,nischintakoili,taratasasan
odisha,cuttack,salipur,1,bahugram,0,3.58,4.05,0,0,0,4.05,-0.47,0.04,5646,cuttack,salipur,bahugram
odisha,cuttack,salipur,2,balisahi,0,0,3.09,1.47,0.2,0,4.77,-4.77,0,5647,cuttack,salipur,balisahi
odisha,cuttack,salipur,3,barigol,0,4.77,5.13,0,0,0,5.13,-0.35,0,5648,cuttack,salipur,barigol
odisha,cuttack,salipur,4,bhimdaspur,0,5.59,7.47,0,0,0,7.47,-1.88,0.01,5649,cuttack,salipur,bhimdaspur
odisha,cuttack,salipur,5,champati,0,0,0.74,0,0,0,0.74,-0.74,0,5650,cuttack,salipur,champati
odisha,cuttack,salipur,6,chandradeipur,0,2.79,3.14,0.41,0,0,3.55,-0.76,0,5651,cuttack,salipur,chandradeipur
odisha,cuttack,salipur,7,chhanipur,0,1.36,2.18,0,0,0,2.18,-0.82,0.01,5652,cuttack,salipur,chhanipur
odisha,cuttack,salipur,8,gopinathpur,0,0.52,0.86,1.36,0.16,0,2.39,-1.87,0,5653,cuttack,salipur,gopinathpur
odisha,cuttack,salipur,9,gujarpur,0,0.92,1.01,0,0,0,1.01,-0.09,0,5654,cuttack,salipur,gujarpur
odisha,cuttack,salipur,10,katarapa,0,5.96,5.96,0,0,0,5.96,0,0,5655,cuttack,salipur,katarapa
odisha,cuttack,salipur,11,madhyakachha,0,7.27,7.31,0,0,0,7.31,-0.04,0.11,5656,cuttack,salipur,madhyakachha
odisha,cuttack,salipur,12,mahajanpur,0,0.09,2.16,0,0,0,2.16,-2.07,0.02,5657,cuttack,salipur,mahajanpur
odisha,cuttack,salipur,13,malasasna,0,18.22,13.53,2.53,0,0,16.06,2.16,0.03,5658,cuttack,salipur,malasasna
odisha,cuttack,salipur,14,mirzapur,0,0,3.69,0,0,0,3.69,-3.69,0.05,5659,cuttack,salipur,mirzapur
odisha,cuttack,salipur,15,mohan,0,2.48,3.39,4,0.43,0,7.82,-5.33,0,5660,cuttack,salipur,mohan
odisha,cuttack,salipur,16,mutarifa,0,0.98,1.22,0,0,0,1.22,-0.24,0,5661,cuttack,salipur,mutarifa
odisha,cuttack,salipur,17,naiguan,0,0.44,1.55,0,0,0,1.55,-1.11,0.01,5662,cuttack,salipur,naiguan
odisha,cuttack,salipur,18,nandola,0,5.58,6.37,2.68,0.08,0,9.12,-3.54,0.13,5663,cuttack,salipur,nandola
odisha,cuttack,salipur,19,naranda,0,2.33,4.58,0,0,0,4.58,-2.25,0.03,5664,cuttack,salipur,naranda
odisha,cuttack,salipur,20,odasingh,0,0,6.71,1.2,0.17,0,8.09,-8.09,0,5665,cuttack,salipur,odasingh
odisha,cuttack,salipur,21,paschimakacha,0,0,3.64,5.6,0.02,0,9.25,-9.25,0,5666,cuttack,salipur,paschimakacha
odisha,cuttack,salipur,22,pikol,0,1,4.5,0,0,0,4.5,-3.49,0.01,5667,cuttack,salipur,pikol
odisha,cuttack,salipur,23,purunahat,0,9.04,9.78,1.3,0.09,0,11.17,-2.13,0.04,5668,cuttack,salipur,purunahat
odisha,cuttack,salipur,24,raisunguda,0,3.62,3.62,0,0,0,3.62,0,0,5669,cuttack,salipur,raisunguda
odisha,cuttack,salipur,25,ramakrushnapur,0,5.69,5.94,2.25,0.19,0,8.38,-2.69,0.05,5670,cuttack,salipur,ramakrushnapur
odisha,cuttack,salipur,26,rameswar,0,4.11,5.04,1.26,0.17,0,6.47,-2.35,0.01,5671,cuttack,salipur,rameswar
odisha,cuttack,salipur,27,ratilo,0,0,1.22,0,0,0,1.22,-1.22,0,5672,cuttack,salipur,ratilo
odisha,cuttack,salipur,28,satyabhamapur,0,0.74,1.77,1.6,0.18,0,3.54,-2.8,0.07,5673,cuttack,salipur,satyabhamapur
odisha,cuttack,salipur,29,sidho,0,0.27,1.2,0,0,0,1.2,-0.93,0,5674,cuttack,salipur,sidho
odisha,cuttack,salipur,30,sisua,0,5.14,5.17,3.28,0.16,0,8.61,-3.47,0.13,5675,cuttack,salipur,sisua
odisha,cuttack,salipur,31,souri,0,1.96,1.96,0,0,0,1.96,0,0.03,5676,cuttack,salipur,souri
odisha,cuttack,salipur,32,sudhakhanda,0,0.2,2.61,0,0,0,2.61,-2.41,0.01,5677,cuttack,salipur,sudhakhanda
odisha,cuttack,salipur,33,tarito,0,0.04,1.07,0,0,0,1.07,-1.03,0,5678,cuttack,salipur,tarito
odisha,cuttack,salipur,34,tentola,0,7.41,7.45,0.07,0,0,7.52,-0.11,0.13,5679,cuttack,salipur,tentola
odisha,cuttack,salipur,35,trilochanpur,0,0.03,2.47,0,0,0,2.47,-2.43,0,5680,cuttack,salipur,trilochanpur
odisha,cuttack,tangi- choudwar,1,agrahat,0,0,4.2,1.37,0,0,5.57,-5.57,0,5681,cuttack,tangi- choudwar,agrahat
odisha,cuttack,tangi- choudwar,2,badasamantarapur,0,0,2.71,0,0,0,2.71,-2.71,0,5682,cuttack,tangi- choudwar,badasamantarapur
odisha,cuttack,tangi- choudwar,3,banipada,0,0,5.82,1.66,0,0,7.48,-7.48,0.01,5683,cuttack,tangi- choudwar,banipada
odisha,cuttack,tangi- choudwar,4,berhampur,0,0,5.31,0,0,0,5.31,-5.31,0,5684,cuttack,tangi- choudwar,berhampur
odisha,cuttack,tangi- choudwar,5,bhatimunda,0,0,1.22,0,0,0,1.22,-1.22,0,5685,cuttack,tangi- choudwar,bhatimunda
odisha,cuttack,tangi- choudwar,6,garudagaon,0,0,5.34,0.57,0,0,5.91,-5.91,0,5686,cuttack,tangi- choudwar,garudagaon
odisha,cuttack,tangi- choudwar,7,govindpur,0,0,4.14,7.06,0,0,11.2,-11.2,0.01,5687,cuttack,tangi- choudwar,govindpur
odisha,cuttack,tangi- choudwar,8,harianta,0,0.55,3.89,3.84,0,0,7.73,-7.18,0,5688,cuttack,tangi- choudwar,harianta
odisha,cuttack,tangi- choudwar,9,indranipatna,0,0,2.4,0,0,0,2.4,-2.4,0,5689,cuttack,tangi- choudwar,indranipatna
odisha,cuttack,tangi- choudwar,10,jaripada,0,0,5.03,4.84,0,0,9.87,-9.87,0.04,5690,cuttack,tangi- choudwar,jaripada
odisha,cuttack,tangi- choudwar,11,kakhadi,0,0,2.61,0,0,0,2.61,-2.61,0,5691,cuttack,tangi- choudwar,kakhadi
odisha,cuttack,tangi- choudwar,12,kanheipur,0,0,5.13,3.95,0,0,9.08,-9.08,3.96,5692,cuttack,tangi- choudwar,kanheipur
odisha,cuttack,tangi- choudwar,13,karanji,0,0.51,9.92,1.99,0,0,11.91,-11.4,0.04,5693,cuttack,tangi- choudwar,karanji
odisha,cuttack,tangi- choudwar,14,kayalpada,0,0,5.05,1.81,0,0,6.86,-6.86,0.02,5694,cuttack,tangi- choudwar,kayalpada
odisha,cuttack,tangi- choudwar,15,kotsahi,0,0,3.3,0,0,0,3.3,-3.3,0.03,5695,cuttack,tangi- choudwar,kotsahi
odisha,cuttack,tangi- choudwar,16,magura dhanamandala,0,0,11.66,0,0,0,11.66,-11.66,0.23,5696,cuttack,tangi- choudwar,magura dhanamandala
odisha,cuttack,tangi- choudwar,17,mahisalanda,0,0,8.24,16.73,0,0,24.97,-24.97,0.01,5697,cuttack,tangi- choudwar,mahisalanda
odisha,cuttack,tangi- choudwar,18,mangarajpur,0,0,6.25,3.51,0,0,9.75,-9.75,0.01,5698,cuttack,tangi- choudwar,mangarajpur
odisha,cuttack,tangi- choudwar,19,nakhara,0,0,5.22,3.49,0,0,8.72,-8.72,0,5699,cuttack,tangi- choudwar,nakhara
odisha,cuttack,tangi- choudwar,20,napanga,0,0,6,0,0,0,6,-6,0.02,5700,cuttack,tangi- choudwar,napanga
odisha,cuttack,tangi- choudwar,21,salagaon,0,0,10.96,1.17,0,0,12.13,-12.13,0.07,5701,cuttack,tangi- choudwar,salagaon
odisha,cuttack,tangi- choudwar,22,sankarpur,0,7.59,8.09,7.02,0,0,15.11,-7.52,0,5702,cuttack,tangi- choudwar,sankarpur
odisha,cuttack,tangi- choudwar,23,sofo,0,0,3.93,0,0,0,3.93,-3.93,0,5703,cuttack,tangi- choudwar,sofo
odisha,cuttack,tangi- choudwar,24,uchapada,0,0,1.82,2.56,0,0,4.38,-4.38,0,5704,cuttack,tangi- choudwar,uchapada
odisha,cuttack,tigiria,1,achalkota,0,5.22,7.01,0,0,0,7.01,-1.79,0.09,5705,cuttack,tigiria,achalkota
odisha,cuttack,tigiria,2,badanauput,0,0,0.53,0,0,0,0.53,-0.53,0,5706,cuttack,tigiria,badanauput
odisha,cuttack,tigiria,3,baliput,0,0,0.63,0,0,0,0.63,-0.63,0,5707,cuttack,tigiria,baliput
odisha,cuttack,tigiria,4,bhiruda,0,0,0.7,0,0,0,0.7,-0.7,0.03,5708,cuttack,tigiria,bhiruda
odisha,cuttack,tigiria,5,bhogada,0,0,0.37,0,0,0,0.37,-0.37,0,5709,cuttack,tigiria,bhogada
odisha,cuttack,tigiria,6,bindhanima,0,0,0.58,0,0,0,0.58,-0.58,0,5710,cuttack,tigiria,bindhanima
odisha,cuttack,tigiria,7,gadadharpur,0,0,0.26,0,0,0,0.26,-0.26,0,5711,cuttack,tigiria,gadadharpur
odisha,cuttack,tigiria,8,hatanala,0,0,0.46,0,0,0,0.46,-0.46,0,5712,cuttack,tigiria,hatanala
odisha,cuttack,tigiria,9,jemadeipur,0,0,0.99,1.08,0,0,2.07,-2.07,0,5713,cuttack,tigiria,jemadeipur
odisha,cuttack,tigiria,10,nizigargh,0,1.31,1.14,0.96,0,0,2.1,-0.79,0.01,5714,cuttack,tigiria,nizigargh
odisha,cuttack,tigiria,11,nuapatna,0,0,0.78,0.03,0,0,0.8,-0.8,0.03,5715,cuttack,tigiria,nuapatna
odisha,cuttack,tigiria,12,panchagaon,0,0.13,0.75,0,0,0,0.75,-0.61,0,5716,cuttack,tigiria,panchagaon
odisha,cuttack,tigiria,13,puruna tigiria,0,0,0.66,0,0,0,0.66,-0.66,0,5717,cuttack,tigiria,puruna tigiria
odisha,cuttack,tigiria,14,sompada,0,0,1.38,5.58,0,0,6.97,-6.97,0.02,5718,cuttack,tigiria,sompada
odisha,jagatsinghapur,balikuda,1,adhanga,-0.36,-0.09,1.52,1.67,0.02,0,3.21,-3.3,0,5719,jagatsinghapur,balikuda,adhanga
odisha,jagatsinghapur,balikuda,2,alabol,-2.14,-2.14,0.98,0,0,0,0.98,-3.12,0,5720,jagatsinghapur,balikuda,alabol
odisha,jagatsinghapur,balikuda,3,alaver,-4.44,-3.4,1.16,0.27,0,0,1.43,-4.83,0,5721,jagatsinghapur,balikuda,alaver
odisha,jagatsinghapur,balikuda,4,ambasal,0,5.73,4.89,2.44,0,0,7.33,-1.6,0.02,5722,jagatsinghapur,balikuda,ambasal
odisha,jagatsinghapur,balikuda,5,anantapur,0,6.03,6.57,3.34,0,0,9.91,-3.88,0.27,5723,jagatsinghapur,balikuda,anantapur
odisha,jagatsinghapur,balikuda,6,apandara,1.99,6.23,4.25,0.28,0,0,4.53,1.69,0.18,5724,jagatsinghapur,balikuda,apandara
odisha,jagatsinghapur,balikuda,7,arilo,0,0,0.38,0,0,0,0.38,-0.38,0,5725,jagatsinghapur,balikuda,arilo
odisha,jagatsinghapur,balikuda,8,badagaon,3.32,3.32,0.24,0,0,0,0.24,3.07,0,5726,jagatsinghapur,balikuda,badagaon
odisha,jagatsinghapur,balikuda,9,baharana,-0.83,-0.83,0.31,0,0,0,0.31,-1.14,0,5727,jagatsinghapur,balikuda,baharana
odisha,jagatsinghapur,balikuda,10,balikuda,-0.6,-0.17,0.7,0,0,0,0.7,-0.87,0.01,5728,jagatsinghapur,balikuda,balikuda
odisha,jagatsinghapur,balikuda,11,baramundali,-0.36,1.77,2.24,4.64,0.01,0,6.89,-5.12,0.83,5729,jagatsinghapur,balikuda,baramundali
odisha,jagatsinghapur,balikuda,12,borikina,0,0.99,1.93,0,0,0,1.93,-0.94,0,5730,jagatsinghapur,balikuda,borikina
odisha,jagatsinghapur,balikuda,13,garama,-2.37,-1.01,1.36,0,0,0,1.36,-2.37,0.11,5731,jagatsinghapur,balikuda,garama
odisha,jagatsinghapur,balikuda,14,ichhapur,0.04,0.04,0.22,0,0,0,0.22,-0.18,0,5732,jagatsinghapur,balikuda,ichhapur
odisha,jagatsinghapur,balikuda,15,kalio,1.22,2.95,1.82,0.15,0,0,1.97,0.98,0.05,5733,jagatsinghapur,balikuda,kalio
odisha,jagatsinghapur,balikuda,16,khalagaon,0,0,0.66,0,0,0,0.66,-0.66,0,5734,jagatsinghapur,balikuda,khalagaon
odisha,jagatsinghapur,balikuda,17,krushnadaspur,-0.04,-0.04,0.51,0,0,0,0.51,-0.55,0.01,5735,jagatsinghapur,balikuda,krushnadaspur
odisha,jagatsinghapur,balikuda,18,kusupur,-4.36,-2.05,2.28,5.07,0.02,0,7.37,-9.42,0.14,5736,jagatsinghapur,balikuda,kusupur
odisha,jagatsinghapur,balikuda,19,machhagaon,0,0.68,1.48,0,0,0,1.48,-0.8,0.01,5737,jagatsinghapur,balikuda,machhagaon
odisha,jagatsinghapur,balikuda,20,marichpur,0,0,0.16,0,0,0,0.16,-0.16,0,5738,jagatsinghapur,balikuda,marichpur
