Name of The State ,Name of The District,Name of The Block,Number of Gram Panchayats,Name  of Gram Panchayats,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20
Odisha,Cuttack,Baramba,37,Santarabali,0,0.58,1.96,0.11,0,0,2.06,-1.49,0
Odisha,Cuttack,Baramba,38,Talamundali,0,13.72,15.77,3.09,0.03,0,18.9,-5.18,0.73
Odisha,Cuttack,Baramba,,Total,0,266.47,396.15,124.52,0.8,0,521.47,-255,20.93
Odisha,Cuttack,Baramba,,Block Level Line Deptt.,0,0,42.05,17.57,0.35,0,59.97,-59.97,22.06
Odisha,Cuttack,Baramba,,Po,0,296.93,0,NA,NA,41.13,41.13,255.8,NA
Odisha,Cuttack,Baramba,,Grand Total,0,563.4,438.2,142.09,1.15,41.13,622.57,-59.17,42.99
Odisha,Cuttack,Banki,1,Anuary,0,0,5.07,0,0,0,5.07,-5.07,0.21
Odisha,Cuttack,Banki,2,Baideswar,0,0,22.82,4.23,0,0,27.05,-27.05,0.79
Odisha,Cuttack,Banki,3,Balabhadrapur,0,0,10.15,0,0,0,10.15,-10.15,0.25
Odisha,Cuttack,Banki,4,Bandalo,0,0,37.16,0,0,0,37.16,-37.16,1.79
Odisha,Cuttack,Banki,5,Baraput,0,0.34,8.59,1.37,0,0,9.96,-9.61,0.1
Odisha,Cuttack,Banki,6,Baunsput,0,0,27.06,0.75,0,0,27.81,-27.81,5.01
Odisha,Cuttack,Banki,7,Berhampura,0,0.18,20.99,3.49,0,0,24.47,-24.29,0.13
Odisha,Cuttack,Banki,8,Golaganda,0,0,5.92,0.81,0,0,6.73,-6.73,0.55
Odisha,Cuttack,Banki,9,Jagannathpur,0,0,24.21,0,0,0,24.21,-24.21,0.68
Odisha,Cuttack,Banki,10,Kadalibari,0,0.14,11.46,0.94,0,0,12.4,-12.26,1.08
Odisha,Cuttack,Banki,11,Kalapathara,0,0,24.13,0,0,0,24.13,-24.13,0.01
Odisha,Cuttack,Banki,12,Kalipoi,0,0,20.41,4.29,0,0,24.71,-24.71,1.6
Odisha,Cuttack,Banki,13,Kanatapahara,0,0.41,12.12,0.33,0,0,12.45,-12.04,0.45
Odisha,Cuttack,Banki,14,Kendupali,0,0,2.07,2.75,0,0,4.81,-4.81,0
Odisha,Cuttack,Banki,15,Kiapala,0,0,24.81,0,0,0,24.81,-24.81,0.24
Odisha,Cuttack,Banki,16,Nuagaon,0,0,3.31,0,0,0,3.31,-3.31,0.1
Odisha,Cuttack,Banki,17,Ostia,0,0,19.39,0,0,0,19.39,-19.39,0.19
Odisha,Cuttack,Banki,18,Puincha,0,0,23.53,0,0,0,23.53,-23.53,1.07
Odisha,Cuttack,Banki,19,Ratagada Govindpur,0,0,11.1,0.75,0,0,11.85,-11.85,0.88
Odisha,Cuttack,Banki,20,Samantarpur,0,0,22.33,0,0,0,22.33,-22.33,1.97
Odisha,Cuttack,Banki,,Total,0,1.07,336.64,19.7,0,0,356.34,-355.27,17.1
Odisha,Cuttack,Banki,,Block Level Line Deptt.,0,0,1.01,0,0,0,1.01,-1.01,0
Odisha,Cuttack,Banki,,Po,0,376.58,0,NA,NA,21.33,21.33,355.25,NA
Odisha,Cuttack,Banki,,Grand Total,0,377.65,337.65,19.7,0,21.33,378.68,-1.03,17.1
Odisha,Cuttack,Banki-Dampada,1,Banara,0,1.04,11.82,0.52,0,0,12.34,-11.3,0.12
Odisha,Cuttack,Banki-Dampada,2,Bhagipur,0,1.27,11.8,0.4,0,0,12.2,-10.94,0
Odisha,Cuttack,Banki-Dampada,3,Bilipada,0,1.61,6.2,1.62,0,0,7.82,-6.21,0
Odisha,Cuttack,Banki-Dampada,4,Damapada,0,0.79,5.49,0.17,0,0,5.66,-4.87,0
Odisha,Cuttack,Banki-Dampada,5,Dhansar,0,4.73,33.4,3.21,0,0,36.62,-31.89,0.02
Odisha,Cuttack,Banki-Dampada,6,Dulanpur,0,2.95,10.41,0.36,0,0,10.77,-7.82,0
Odisha,Cuttack,Banki-Dampada,7,Durgapur,0,10.09,30.36,0.08,0,0,30.44,-20.36,0.08
Odisha,Cuttack,Banki-Dampada,8,Gopalpur,0,1.73,7.13,0.2,0,0,7.33,-5.6,0.15
Odisha,Cuttack,Banki-Dampada,9,Govindpur,0,3.75,11.8,0.08,0,0,11.88,-8.13,0
Odisha,Cuttack,Banki-Dampada,10,Harirajpur,0,3.26,6.17,0,0,0,6.17,-2.9,0.08
Odisha,Cuttack,Banki-Dampada,11,Kuspangi,0,10.62,12.23,8.96,0.28,0,21.47,-10.85,0.11
Odisha,Cuttack,Banki-Dampada,12,Naraganga,0,2.15,25.58,0,0,0,25.58,-23.43,0.12
Odisha,Cuttack,Banki-Dampada,13,Pathpur,0,1.66,8.78,1.11,0,0,9.9,-8.24,0
Odisha,Cuttack,Banki-Dampada,14,Ragadi,0,2.81,6.51,4.58,0,0,11.09,-8.29,0.04
Odisha,Cuttack,Banki-Dampada,15,Similipur,0,1.54,8.93,0,0,0,8.93,-7.39,0.04
Odisha,Cuttack,Banki-Dampada,16,Talabasta,0,10.84,46.78,0.48,0,0,47.26,-36.42,0.23
Odisha,Cuttack,Banki-Dampada,17,Tulasipur,0,0.53,7.66,1.77,0,0,9.43,-8.9,0
Odisha,Cuttack,Banki-Dampada,,Total,0,61.35,251.06,23.54,0.28,0,274.89,-213.53,0.97
Odisha,Cuttack,Banki-Dampada,,Block Level Line Deptt.,0,0,2.14,0.39,0,0,2.52,-2.52,0.01
Odisha,Cuttack,Banki-Dampada,,Po,0,236.07,0,NA,NA,20.49,20.49,215.58,NA
Odisha,Cuttack,Banki-Dampada,,Grand Total,0,297.42,253.2,23.93,0.28,20.49,297.9,-0.47,0.98
Odisha,Cuttack,Barang,1,Belgachia,0,4.77,3.28,1.81,0.02,0,5.09,-0.33,0.12
Odisha,Cuttack,Barang,2,Dhadapatna,0,1.2,1.43,0.26,0,0,1.69,-0.49,2.52
Odisha,Cuttack,Barang,3,Harianta,0,13.76,13.89,0,0,0,13.89,-0.13,0.68
Odisha,Cuttack,Barang,4,Khalarda,0,3.96,3.86,0.5,0,0,4.37,-0.41,0
Odisha,Cuttack,Barang,5,Korkora,0,2.72,1.83,0.94,0.01,0,2.78,-0.06,0
Odisha,Cuttack,Barang,6,Kunheipada,0,1.39,1.22,0.17,0,0,1.39,0,0.01
Odisha,Cuttack,Barang,7,Kurangpradhan,0,5.39,5.39,0,0,0,5.39,0,0.01
Odisha,Cuttack,Barang,8,Kurangsasan,0,7.96,8.89,0.57,0.01,0,9.47,-1.51,0.09
Odisha,Cuttack,Barang,9,Madhupur,0,0.9,2.19,1.05,0.01,0,3.25,-2.36,0.07
Odisha,Cuttack,Barang,10,Mundali,0,5.43,3.91,1.87,0.02,0,5.8,-0.37,0.01
Odisha,Cuttack,Barang,11,Nagari,0,6.81,5.36,1.43,0.02,0,6.81,0,0.02
Odisha,Cuttack,Barang,12,Narajmarthapur,0,0.92,0.92,0,0,0,0.92,0,0
Odisha,Cuttack,Barang,13,Ramdaspur,0,3.18,1.67,1.62,0.02,0,3.31,-0.12,0.01
Odisha,Cuttack,Barang,14,Sainso,0,13.01,14.53,0.24,0,0,14.77,-1.76,0.62
Odisha,Cuttack,Barang,15,Sribantapur,0,2.09,2.14,0,0,0,2.14,-0.05,0.03
Odisha,Cuttack,Barang,16,Usuma,0,4.39,4.39,0,0,0,4.39,0,0.15
Odisha,Cuttack,Barang,,Total,0,77.88,74.91,10.45,0.1,0,85.47,-7.59,4.35
Odisha,Cuttack,Barang,,Block Level Line Deptt.,0,0,0,0,0,0,0,0,0
Odisha,Cuttack,Barang,,Po,0,0,0,0,0,0,0,0,0
Odisha,Cuttack,Barang,,Grand Total,-40,64.61,74.91,10.45,0.1,18.03,103.5,-38.89,4.35
Odisha,Cuttack,Cuttack Sadar,1,Amana,0,0.03,2.15,0,0,0,2.15,-2.12,0
Odisha,Cuttack,Cuttack Sadar,2,Arilo,0,0.49,1.55,0.28,0,0,1.84,-1.35,0
Odisha,Cuttack,Cuttack Sadar,3,Ayatpur,0,0.4,1.16,0,0,0,1.16,-0.76,0.01
Odisha,Cuttack,Cuttack Sadar,4,Barada,0,0.26,3.62,0.95,0.01,0,4.58,-4.32,0
Odisha,Cuttack,Cuttack Sadar,5,Bentkar,0,0.23,1.16,0.09,0,0,1.25,-1.02,0
Odisha,Cuttack,Cuttack Sadar,6,Bodhapur,0,0.16,0.73,0,0,0,0.73,-0.58,0.02
Odisha,Cuttack,Cuttack Sadar,7,Berhampur,0,0.03,0.52,0,0,0,0.52,-0.49,0
Odisha,Cuttack,Cuttack Sadar,8,Dadhibamanapur,0,0.08,0.51,0,0,0,0.51,-0.43,0
Odisha,Cuttack,Cuttack Sadar,9,Dharina,0,0.44,1.04,0.55,0.01,0,1.59,-1.15,0.28
Odisha,Cuttack,Cuttack Sadar,10,Fakirpada,0,0.08,0.46,0,0,0,0.46,-0.38,0
Odisha,Cuttack,Cuttack Sadar,11,Gatiroutpatna,0,0.09,0.71,0,0,0,0.71,-0.62,0
Odisha,Cuttack,Cuttack Sadar,12,Jasapada,0,0.07,1.09,0,0,0,1.09,-1.02,0
Odisha,Cuttack,Cuttack Sadar,13,Jharkata,0,0.42,2.53,0,0,0,2.53,-2.11,0.01
Odisha,Cuttack,Cuttack Sadar,14,Kalapada,0,0.37,2.91,0.09,0,0,3.01,-2.64,0
Odisha,Cuttack,Cuttack Sadar,15,Kandarpur,0,0.08,3.34,0,0,0,3.34,-3.25,0.01
Odisha,Cuttack,Cuttack Sadar,16,Khandaita,0,0.08,3.02,0,0,0,3.02,-2.94,0
Odisha,Cuttack,Cuttack Sadar,17,Kishannagar,0,0.22,4.13,0,0,0,4.13,-3.91,0
Odisha,Cuttack,Cuttack Sadar,18,Kulasarichuan,0,0.08,1.56,0,0,0,1.56,-1.49,0
Odisha,Cuttack,Cuttack Sadar,19,Nemeisapur,0,0.11,3.37,0,0,0,3.37,-3.26,0
Odisha,Cuttack,Cuttack Sadar,20,Paramahansa,0,0.54,5.59,0.28,0,0,5.87,-5.33,0
Odisha,Cuttack,Cuttack Sadar,21,Praharajpur,0,0.15,2.05,0.11,0,0,2.16,-2.01,0
Odisha,Cuttack,Cuttack Sadar,22,Somepur,0,0.27,3.04,0,0,0,3.04,-2.77,0
Odisha,Cuttack,Cuttack Sadar,23,Urali,0,0.35,3.58,0,0,0,3.58,-3.23,0
Odisha,Cuttack,Cuttack Sadar,,Total,0,5.01,49.82,2.35,0.03,0,52.19,-47.18,0.33
Odisha,Cuttack,Cuttack Sadar,,Block Level Line Deptt.,0,0,6.72,32.61,0.27,0,39.6,-39.6,0.02
Odisha,Cuttack,Cuttack Sadar,,Po,-0.24,130.35,0,NA,NA,38.61,38.61,91.74,NA
Odisha,Cuttack,Cuttack Sadar,,Grand Total,-0.24,135.36,56.54,34.96,0.3,38.61,130.4,4.96,0.35
Odisha,Cuttack,Kantapada,1,Adaspur,0,0.09,0.51,0.21,0,0,0.72,-0.63,0
Odisha,Cuttack,Kantapada,2,Bada Patasundarpur,0,1.18,1.64,2.76,0,0,4.4,-3.21,0
Odisha,Cuttack,Kantapada,3,Bagalpur,0,3.05,2.98,0.14,0,0,3.12,-0.07,0
Odisha,Cuttack,Kantapada,4,Brahamanabati,0,18.19,17.36,1.05,0,0,18.41,-0.21,0.05
Odisha,Cuttack,Kantapada,5,Brahmansailo,0,2.13,2.62,2.25,0,0,4.87,-2.73,0.04
Odisha,Cuttack,Kantapada,6,Dimiri,0,0.33,0.71,0,0,0,0.71,-0.38,0
Odisha,Cuttack,Kantapada,7,Govindpur,0,1.01,1.71,0,0,0,1.71,-0.7,0.02
Odisha,Cuttack,Kantapada,8,Jharpada,0,0.02,0.78,4.38,0,0,5.16,-5.13,0
Odisha,Cuttack,Kantapada,9,Kantapada,0,0.81,1.47,0,0,0,1.47,-0.67,0.02
Odisha,Cuttack,Kantapada,10,Nahalpur,0,0.02,2.61,0,0,0,2.61,-2.58,0.05
Odisha,Cuttack,Kantapada,11,Nuagangram,0,0.16,0.85,0,0,0,0.85,-0.69,0.03
Odisha,Cuttack,Kantapada,12,Postal,0,4.17,3.66,1.6,0,0,5.27,-1.1,0.04
Odisha,Cuttack,Kantapada,13,Uradha,0,0.57,1.84,2.42,0.03,0,4.29,-3.72,0.02
Odisha,Cuttack,Kantapada,14,Uttrana,0,0,0.03,0.21,0,0,0.24,-0.24,0.06
Odisha,Cuttack,Kantapada,,Total,0,31.74,38.76,15.02,0.03,0,53.81,-22.08,0.34
Odisha,Cuttack,Kantapada,,Block Level Line Deptt.,-2.36,-2.36,17.8,6.08,0.03,0,23.92,-26.28,0.11
Odisha,Cuttack,Kantapada,,Po,0,61.54,0,NA,NA,13.61,13.61,47.93,NA
Odisha,Cuttack,Kantapada,,Grand Total,-2.36,90.92,56.56,21.1,0.06,13.61,91.34,-0.43,0.45
Odisha,Cuttack,Mahanga,1,Anandpur,0,0,8.32,0,0,0,8.32,-8.32,0.07
Odisha,Cuttack,Mahanga,2,Bajapur,0,0,4.13,0.21,0,0,4.34,-4.34,0
Odisha,Cuttack,Mahanga,3,Barahipur,0,0,3.05,0.29,0,0,3.34,-3.34,0.04
Odisha,Cuttack,Mahanga,4,Basudevpur,0,0.08,9.87,0.11,0,0,9.98,-9.9,0.13
Odisha,Cuttack,Mahanga,5,Bhadreswar,0,0,7.03,0,0,0,7.03,-7.03,1.44
Odisha,Cuttack,Mahanga,6,Bhaunria,0,0.14,4.31,0.64,0,0,4.95,-4.8,0.01
Odisha,Cuttack,Mahanga,7,Bheda,0,0,2.21,0,0,0,2.21,-2.21,0
Odisha,Cuttack,Mahanga,8,Chahapada,0,0,5.49,0.32,0,0,5.81,-5.81,0.1
Odisha,Cuttack,Mahanga,9,Gokana,0,0,14.27,0.11,0,0,14.38,-14.38,0.09
Odisha,Cuttack,Mahanga,10,Gopalpur,0,0,8.79,0,0,0,8.79,-8.79,0.47
Odisha,Cuttack,Mahanga,11,Gotara,0,0,3.67,0.54,0,0,4.2,-4.2,0.01
Odisha,Cuttack,Mahanga,12,Haladia,0,0,7.9,0,0,0,7.9,-7.9,1.06
Odisha,Cuttack,Mahanga,13,Jaleswarpur,0,0,5.75,0.57,0,0,6.32,-6.32,0.11
Odisha,Cuttack,Mahanga,14,Kaitha,0,0.17,12.21,0.21,0,0,12.42,-12.25,0.33
Odisha,Cuttack,Mahanga,15,Koliatha,0,0,4.02,4.38,0,0,8.4,-8.4,0.05
Odisha,Cuttack,Mahanga,16,Kuhunda,0,0,7.46,0.62,0,0,8.08,-8.08,0.17
Odisha,Cuttack,Mahanga,17,Kundi,0,0,9.94,0.32,0,0,10.26,-10.26,0.05
Odisha,Cuttack,Mahanga,18,Kurujanga,0,0,4.77,0.21,0,0,4.98,-4.98,0.14
Odisha,Cuttack,Mahanga,19,Kusupur,0,0.03,3.39,0,0,0,3.39,-3.37,0
Odisha,Cuttack,Mahanga,20,Lalitgiri,0,0,14.24,5.71,0,0,19.95,-19.95,0.26
Odisha,Cuttack,Mahanga,21,Madhupur,0,0.18,8.93,0.11,0,0,9.04,-8.86,0.21
Odisha,Cuttack,Mahanga,22,Mahanga,0,0,6.16,1.15,0,0,7.31,-7.31,0
Odisha,Cuttack,Mahanga,23,Mouda,0,0,12.89,4.7,0,0,17.59,-17.59,0.14
Odisha,Cuttack,Mahanga,24,Mulabasanta,0,0.38,12.99,1.42,0,0,14.41,-14.02,0.43
Odisha,Cuttack,Mahanga,25,Nahanga,0,0,21.64,0,0,0,21.64,-21.64,0.33
Odisha,Cuttack,Mahanga,26,Nurtanga,0,0,6.35,0,0,0,6.35,-6.35,0.14
Odisha,Cuttack,Mahanga,27,Osanga,0,0,6.93,0,0,0,6.93,-6.93,0
Odisha,Cuttack,Mahanga,28,Paikarapur,0,0,13.19,0,0,0,13.19,-13.19,0.43
Odisha,Cuttack,Mahanga,29,Pallisahi,0,0.15,12.49,1.22,0,0,13.7,-13.55,0.06
Odisha,Cuttack,Mahanga,30,Panasapur,0,0,5.43,0,0,0,5.43,-5.43,0.15
Odisha,Cuttack,Mahanga,31,Podamarai,0,0,10.39,0,0,0,10.39,-10.39,1.3
Odisha,Cuttack,Mahanga,32,Rahania,0,0,10.01,3.52,0,0,13.53,-13.53,0
Odisha,Cuttack,Mahanga,33,Sahapur,0,0,11.06,1.6,0,0,12.66,-12.66,0.07
Odisha,Cuttack,Mahanga,34,Samsarpur,0,0.17,10.95,0,0,0,10.95,-10.78,0.08
Odisha,Cuttack,Mahanga,35,Srikrishnapur,0,0,4.66,0,0,0,4.66,-4.66,0.04
Odisha,Cuttack,Mahanga,36,Umara,0,0,18.67,0.54,0,0,19.21,-19.21,0.07
Odisha,Cuttack,Mahanga,37,Usuma,0,0.05,6.97,2.83,0,0,9.81,-9.76,0
Odisha,Cuttack,Mahanga,,Total,0,1.36,320.54,31.31,0,0,351.85,-350.49,7.99
Odisha,Cuttack,Mahanga,,Block Level Line Deptt.,0,0,8.67,1.53,0,0,10.2,-10.2,0.54
Odisha,Cuttack,Mahanga,,Po,-10.52,381.18,0,NA,NA,27.62,27.62,353.56,NA
Odisha,Cuttack,Mahanga,,Grand Total,-10.52,382.54,329.21,32.84,0,27.62,389.67,-7.13,8.53
Odisha,Cuttack,Narasinghpur,1,Adheigundi,0,3.84,6.26,10.6,0.09,0,16.95,-13.11,0.02
Odisha,Cuttack,Narasinghpur,2,Alara,0,0,21.85,0,0,0,21.85,-21.85,0.35
Odisha,Cuttack,Narasinghpur,3,Badabhuin,0,17.7,56.76,8.03,0.09,0,64.88,-47.18,1.24
Odisha,Cuttack,Narasinghpur,4,Balijhari,0,0,16.69,30.77,0.16,0,47.62,-47.62,0.27
Odisha,Cuttack,Narasinghpur,5,Balisahi,0,0,19.25,5.58,0.05,0,24.88,-24.88,1.64
Odisha,Cuttack,Narasinghpur,6,Bandhahuda,0,0,10.92,0,0,0,10.92,-10.92,0.02
Odisha,Cuttack,Narasinghpur,7,Basantpur,0,2.64,36.89,13.47,0.15,0,50.51,-47.87,0
Odisha,Cuttack,Narasinghpur,8,Baselihata,0,0,15.85,14.37,0.13,0,30.35,-30.35,0.19
Odisha,Cuttack,Narasinghpur,9,Bokada,0,0,22.2,0,0,0,22.2,-22.2,0.21
Odisha,Cuttack,Narasinghpur,10,Chakamunda,0,0,17.01,1.94,0.02,0,18.98,-18.98,0
Odisha,Cuttack,Narasinghpur,11,Champeswar,0,0.38,26.13,14.55,0.15,0,40.84,-40.45,0.08
Odisha,Cuttack,Narasinghpur,12,Debabhuin,0,1.21,31.46,3.63,0.03,0,35.12,-33.91,0.12
Odisha,Cuttack,Narasinghpur,13,Ekadal,0,2.42,9.91,17.01,0.18,0,27.1,-24.68,0.47
Odisha,Cuttack,Narasinghpur,14,Godibandha,0,0,7.29,4.6,0.05,0,11.94,-11.94,0.06
Odisha,Cuttack,Narasinghpur,15,Jayamangal,0,0,10.91,2.25,0.01,0,13.17,-13.17,0
Odisha,Cuttack,Narasinghpur,16,Jodumu,0,0,22.48,0.76,0,0,23.24,-23.24,0.45
Odisha,Cuttack,Narasinghpur,17,Kakudia,0,0,9.19,7.58,0.08,0,16.85,-16.85,0
Odisha,Cuttack,Narasinghpur,18,Kamaladihi,0,2.8,13.78,0.11,0,0,13.89,-11.09,0.07
Odisha,Cuttack,Narasinghpur,19,Kanjiapada,0,0,6.97,1.7,0,0,8.67,-8.67,0
Odisha,Cuttack,Narasinghpur,20,Kanpur,0,3.34,32.77,12.77,0.14,0,45.68,-42.34,0.16
Odisha,Cuttack,Narasinghpur,21,Kathakhunta,0,0,4.39,0.11,0,0,4.5,-4.5,0.36
Odisha,Cuttack,Narasinghpur,22,Kokalaba,0,0,16.82,5.37,0.05,0,22.24,-22.24,0.39
Odisha,Cuttack,Narasinghpur,23,Nimasahi,0,0.8,19,6.97,0.05,0,26.02,-25.23,0.63
Odisha,Cuttack,Narasinghpur,24,Nizigargh,0,4.05,21.62,25.08,0.28,0,46.97,-42.92,0.59
Odisha,Cuttack,Narasinghpur,25,Nuapatna,0,2.1,14.05,1.65,0,0,15.7,-13.6,0.11
Odisha,Cuttack,Narasinghpur,26,Nukhapada,0,0.26,23.01,9.33,0.08,0,32.42,-32.16,0.64
Odisha,Cuttack,Narasinghpur,27,Olaba,0,1.16,7.25,5.35,0.06,0,12.65,-11.49,0.02
Odisha,Cuttack,Narasinghpur,28,Padamal,0,0,19.69,0.76,0,0,20.45,-20.45,0.3
Odisha,Cuttack,Narasinghpur,29,Paikabarabati,0,2.7,22.93,6.88,0.06,0,29.87,-27.17,0.61
Odisha,Cuttack,Narasinghpur,30,Paikapadapatana,0,0,4.3,0,0,0,4.3,-4.3,0
Odisha,Cuttack,Narasinghpur,31,Phulapada,0,0.97,9.24,6.57,0.07,0,15.87,-14.9,0
Odisha,Cuttack,Narasinghpur,32,Ranasinghpur,0,2.28,16.36,1.67,0.02,0,18.05,-15.77,0.25
Odisha,Cuttack,Narasinghpur,33,Regeda,0,0,23.09,16.42,0.18,0,39.69,-39.69,0.29
Odisha,Cuttack,Narasinghpur,34,Rusipada,0,0.94,13.23,1.89,0.02,0,15.15,-14.21,0.02
Odisha,Cuttack,Narasinghpur,35,Sagar,0,3.37,13.24,3.33,0.04,0,16.6,-13.24,0.01
Odisha,Cuttack,Narasinghpur,36,Saradhapur,0,0,41.08,8.12,0.09,0,49.29,-49.29,0.2
Odisha,Cuttack,Narasinghpur,37,Siaria,0,0,9.66,0.22,0,0,9.88,-9.88,0.06
Odisha,Cuttack,Narasinghpur,,Total,0,52.94,673.57,249.42,2.32,0,925.3,-872.36,9.84
Odisha,Cuttack,Narasinghpur,,Block Level Line Deptt.,0,0,39.65,41.41,0.3,0,81.37,-81.37,0.24
Odisha,Cuttack,Narasinghpur,,Po,0,960.92,0,NA,NA,27.82,27.82,933.1,NA
Odisha,Cuttack,Narasinghpur,,Grand Total,0,1013.86,713.22,290.83,2.62,27.82,1034.49,-20.63,10.08
Odisha,Cuttack,Niali,1,Alana,0,48.07,34.78,16.38,0,0,51.17,-3.1,0.8
Odisha,Cuttack,Niali,2,Anlo,0,0,2.68,0,0,0,2.68,-2.68,0.05
Odisha,Cuttack,Niali,3,Baharana,0,0,0.9,0.11,0,0,1.01,-1.01,0.05
Odisha,Cuttack,Niali,4,Bilasuni,0,13.46,9.07,6.09,0,0,15.16,-1.7,0.37
Odisha,Cuttack,Niali,5,Binisipur,0,2.28,4.49,0.98,0,0,5.47,-3.19,0.33
Odisha,Cuttack,Niali,6,Ekaberuan,0,0.03,0.74,0.76,0,0,1.5,-1.47,0
Odisha,Cuttack,Niali,7,Erancha,0,0,5.6,0,0,0,5.6,-5.6,0.25
Odisha,Cuttack,Niali,8,Jallarpur,0,0,2.64,0.11,0,0,2.75,-2.75,0.11
Odisha,Cuttack,Niali,9,Kapasi,0,0.15,1.12,0,0,0,1.12,-0.97,0.17
Odisha,Cuttack,Niali,10,Kasarada,0,6.22,7.54,0,0,0,7.54,-1.33,0.07
Odisha,Cuttack,Niali,11,Krushnaprasad,0,3.05,4.11,0.87,0,0,4.98,-1.93,0.18
Odisha,Cuttack,Niali,12,Madhab,0,6.48,8.17,0,0,0,8.17,-1.68,0.17
Odisha,Cuttack,Niali,13,Niali,0,15.67,15.65,0.81,0,0,16.45,-0.78,0.09
Odisha,Cuttack,Niali,14,Nivarana,0,1.59,3.35,0.43,0,0,3.79,-2.2,0.37
Odisha,Cuttack,Niali,15,Nuagoan,0,0.57,1.05,1.36,0,0,2.41,-1.84,0.22
Odisha,Cuttack,Niali,16,Pahanga,0,0,2,1.41,0,0,3.41,-3.41,0
Odisha,Cuttack,Niali,17,Pokharigoan,0,8.38,13.4,0.11,0,0,13.51,-5.13,0.05
Odisha,Cuttack,Niali,18,Raniola,0,2.41,3.64,0,0,0,3.64,-1.23,0.15
Odisha,Cuttack,Niali,19,Ratnapur,0,0,0.13,0,0,0,0.13,-0.13,0.12
Odisha,Cuttack,Niali,20,Sadhansa,0,1.09,3.21,0,0,0,3.21,-2.12,0.13
Odisha,Cuttack,Niali,21,Sagadailo,0,0.26,1.12,0,0,0,1.12,-0.86,0
Odisha,Cuttack,Niali,22,Sithalo,0,1.18,3.37,0,0,0,3.37,-2.19,0.32
Odisha,Cuttack,Niali,23,Tihuda,0,0,0.68,0,0,0,0.68,-0.68,0
Odisha,Cuttack,Niali,,Total,0,110.89,129.46,29.42,0,0,158.88,-47.99,3.98
Odisha,Cuttack,Niali,,Block Level Line Deptt.,0,0,37.77,31.84,0,0,69.61,-69.61,1.11
Odisha,Cuttack,Niali,,Po,-2.37,138.79,0,NA,NA,23.72,23.72,115.07,NA
Odisha,Cuttack,Niali,,Grand Total,-2.37,249.69,167.23,61.26,0,23.72,252.21,-2.53,5.09
Odisha,Cuttack,Nischintakoili,1,Asureswar,0,2.12,7.25,1.33,0,0,8.58,-6.46,0.15
Odisha,Cuttack,Nischintakoili,2,Babujanga,0,1.02,2.33,0,0,0,2.33,-1.32,0.1
Odisha,Cuttack,Nischintakoili,3,Badakhira,0,0.94,9.62,0.09,0,0,9.71,-8.76,0.18
Odisha,Cuttack,Nischintakoili,4,Baliapada,0,1.52,4.09,0,0,0,4.09,-2.56,0.03
Odisha,Cuttack,Nischintakoili,5,Bandhakatia,0,11.17,15.57,0,0,0,15.57,-4.4,1.06
Odisha,Cuttack,Nischintakoili,6,Bandhupur,0,1.54,2.34,0,0,0,2.34,-0.8,0.44
Odisha,Cuttack,Nischintakoili,7,Barado,0,0,2.06,6.15,0,0,8.21,-8.21,0.02
Odisha,Cuttack,Nischintakoili,8,Buhalo,0,2.61,5.43,0,0,0,5.43,-2.82,0.03
Odisha,Cuttack,Nischintakoili,9,Daudpur,0,68.24,76.09,43.8,0,0,119.89,-51.65,0.23
Odisha,Cuttack,Nischintakoili,10,Fagola,0,1.53,2.93,0,0,0,2.93,-1.4,0.18
Odisha,Cuttack,Nischintakoili,11,Isaniberhampur,0,0.47,2.22,0,0,0,2.22,-1.75,0.02
Odisha,Cuttack,Nischintakoili,12,Jairampur,0,0.87,3.53,0,0,0,3.53,-2.66,0
Odisha,Cuttack,Nischintakoili,13,Jamara,0,15.59,24.95,0,0,0,24.95,-9.36,0.51
Odisha,Cuttack,Nischintakoili,14,Janardanpur,0,0.13,1.58,0,0,0,1.58,-1.44,0
Odisha,Cuttack,Nischintakoili,15,Jhadeswarpur,0,1.6,4.95,3.71,0,0,8.66,-7.06,0.06
Odisha,Cuttack,Nischintakoili,16,Jignipur,0,2.27,9.48,2.19,0,0,11.67,-9.4,0.71
Odisha,Cuttack,Nischintakoili,17,Kalamishri,0,1.87,4.21,0,0,0,4.21,-2.34,0.08
Odisha,Cuttack,Nischintakoili,18,Katarpara,0,1.36,2.04,2.82,0,0,4.85,-3.5,0.03
Odisha,Cuttack,Nischintakoili,19,Katikata,0,4.08,8.44,0.52,0,0,8.96,-4.88,0.11
Odisha,Cuttack,Nischintakoili,20,Kendupatana,0,3.91,6.93,3.26,0,0,10.19,-6.28,0.25
Odisha,Cuttack,Nischintakoili,21,Kentalo,0,2.47,10.94,1.43,0,0,12.36,-9.89,0.76
Odisha,Cuttack,Nischintakoili,22,Kerilo,0,20.43,19.57,9.28,0,0,28.85,-8.42,0.2
Odisha,Cuttack,Nischintakoili,23,Kolanpur,0,1.02,1.54,0,0,0,1.54,-0.52,0.11
