s_state,s_district,s_block,Sl.No,s_gp,SC,ST,Minority,Others,Total,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,anugul,chhendipada,6,changudia,1.6,0,0,21.9,23.5,99,anugul,chhendipada,changudia
odisha,anugul,chhendipada,7,durgapur,13.2,2.9,0,19.4,35.5,100,anugul,chhendipada,durgapur
odisha,anugul,chhendipada,8,jarapada,2.4,1.2,0,2.1,5.7,101,anugul,chhendipada,jarapada
odisha,anugul,chhendipada,9,jerang dehurisahi,8.1,16.4,0,29.3,53.8,102,anugul,chhendipada,jerang dehurisahi
odisha,anugul,chhendipada,10,kampasala,1.5,0.3,0,1,2.8,103,anugul,chhendipada,kampasala
odisha,anugul,chhendipada,11,kanaloi,1.3,0,0,0.6,1.9,104,anugul,chhendipada,kanaloi
odisha,anugul,chhendipada,12,katada,17.4,12.3,0,59.4,89.1,105,anugul,chhendipada,katada
odisha,anugul,chhendipada,13,korada,9,3,0,11.9,23.9,106,anugul,chhendipada,korada
odisha,anugul,chhendipada,14,kosala,7.3,3.9,0,19.8,31,107,anugul,chhendipada,kosala
odisha,anugul,chhendipada,15,kukurpeta,3.9,1.2,0,11.3,16.4,108,anugul,chhendipada,kukurpeta
odisha,anugul,chhendipada,16,kusakila,1.7,0.3,0,7.2,9.2,109,anugul,chhendipada,kusakila
odisha,anugul,chhendipada,17,machhakuta,13.1,1.5,0,0.5,15.1,110,anugul,chhendipada,machhakuta
odisha,anugul,chhendipada,18,nisa,1.2,15.1,0,0.3,16.6,111,anugul,chhendipada,nisa
odisha,anugul,chhendipada,19,nuagaon,2.7,0,0,10.1,12.8,112,anugul,chhendipada,nuagaon
odisha,anugul,chhendipada,20,ogi,9.1,2.7,0,40.8,52.6,113,anugul,chhendipada,ogi
odisha,anugul,chhendipada,21,para,5.6,0.6,0,41.3,47.5,114,anugul,chhendipada,para
odisha,anugul,chhendipada,22,paranga,3.8,0.4,0,1,5.2,115,anugul,chhendipada,paranga
odisha,anugul,chhendipada,23,patakamunda,1.2,0.7,0,6.2,8.1,116,anugul,chhendipada,patakamunda
odisha,anugul,chhendipada,24,patrapada,0.3,0,0,2,2.3,117,anugul,chhendipada,patrapada
odisha,anugul,chhendipada,25,t.kodasahi,3.7,1,0,6.3,11,118,anugul,chhendipada,t.kodasahi
odisha,anugul,chhendipada,26,tangiri,0.9,1.2,0,8.5,10.6,119,anugul,chhendipada,tangiri
odisha,anugul,chhendipada,27,tukuda,3.2,1.4,0,1.3,5.9,120,anugul,chhendipada,tukuda
odisha,anugul,chhendipada,28,bahalsahi,NA,NA,NA,NA,NA,121,anugul,chhendipada,bahalsahi
odisha,anugul,chhendipada,29,basantapur,NA,NA,NA,NA,NA,122,anugul,chhendipada,basantapur
odisha,anugul,chhendipada,30,chhendipada,NA,NA,NA,NA,NA,123,anugul,chhendipada,chhendipada
odisha,anugul,chhendipada,31,kankarei,NA,NA,NA,NA,NA,124,anugul,chhendipada,kankarei
odisha,anugul,chhendipada,32,natada,NA,NA,NA,NA,NA,125,anugul,chhendipada,natada
odisha,anugul,chhendipada,33,raijharan,NA,NA,NA,NA,NA,126,anugul,chhendipada,raijharan
odisha,anugul,chhendipada,34,similipal,NA,NA,NA,NA,NA,127,anugul,chhendipada,similipal
odisha,anugul,kaniha,1,arkil,0,2.9,0,0.7,3.6,128,anugul,kaniha,arkil
odisha,anugul,kaniha,2,badatribida,0,0,0,0.6,0.6,129,anugul,kaniha,badatribida
odisha,anugul,kaniha,3,bajrakote,2.9,2.6,0,0,5.5,130,anugul,kaniha,bajrakote
odisha,anugul,kaniha,4,balipasi,7.7,0.7,0,5.2,13.6,131,anugul,kaniha,balipasi
odisha,anugul,kaniha,5,bijigol,0.5,0,0,1.2,1.7,132,anugul,kaniha,bijigol
odisha,anugul,kaniha,6,biru,3,2.4,0,0,5.4,133,anugul,kaniha,biru
odisha,anugul,kaniha,7,burukuna,9.9,1,0,2.9,13.8,134,anugul,kaniha,burukuna
odisha,anugul,kaniha,8,dalaka,2.8,0,0,0,2.8,135,anugul,kaniha,dalaka
odisha,anugul,kaniha,9,derang,0.3,0,0,0,0.3,136,anugul,kaniha,derang
odisha,anugul,kaniha,10,gandamala,11.1,24,0,0,35.1,137,anugul,kaniha,gandamala
odisha,anugul,kaniha,11,hanumanpur,0.3,0.3,0,1.4,2,138,anugul,kaniha,hanumanpur
odisha,anugul,kaniha,12,hariharpur,3.7,3.7,0,6.1,13.5,139,anugul,kaniha,hariharpur
odisha,anugul,kaniha,13,kakudia,0.4,0,0,0,0.4,140,anugul,kaniha,kakudia
odisha,anugul,kaniha,14,kamarei,0,0,0,0.3,0.3,141,anugul,kaniha,kamarei
odisha,anugul,kaniha,15,kaniha,0,0.5,0,0,0.5,142,anugul,kaniha,kaniha
odisha,anugul,kaniha,16,karnapal,1.1,0,0,0.3,1.4,143,anugul,kaniha,karnapal
odisha,anugul,kaniha,17,kulei,1.2,0,0,0,1.2,144,anugul,kaniha,kulei
odisha,anugul,kaniha,18,kuluma,3.7,1.2,0,0.3,5.2,145,anugul,kaniha,kuluma
odisha,anugul,kaniha,19,parabil,0.5,0,0,2.9,3.4,146,anugul,kaniha,parabil
odisha,anugul,kaniha,20,rengali,0.7,0,0,0,0.7,147,anugul,kaniha,rengali
odisha,anugul,kaniha,21,sanatribida,1,1.2,0,0.2,2.4,148,anugul,kaniha,sanatribida
odisha,anugul,kaniha,22,susuba,1,4.5,0,1.3,6.8,149,anugul,kaniha,susuba
odisha,anugul,kaniha,23,talapada,0.7,0,0,0,0.7,150,anugul,kaniha,talapada
odisha,anugul,kaniha,24,badagunduri,NA,NA,NA,NA,NA,151,anugul,kaniha,badagunduri
odisha,anugul,kaniha,25,gadasila,NA,NA,NA,NA,NA,152,anugul,kaniha,gadasila
odisha,anugul,kaniha,26,jarada,NA,NA,NA,NA,NA,153,anugul,kaniha,jarada
odisha,anugul,kaniha,27,kudia,NA,NA,NA,NA,NA,154,anugul,kaniha,kudia
odisha,anugul,kaniha,28,samal,NA,NA,NA,NA,NA,155,anugul,kaniha,samal
odisha,anugul,kishorenagar,1,ambapal,4.4,25.4,0,24.8,54.6,156,anugul,kishorenagar,ambapal
odisha,anugul,kishorenagar,2,angapada,17.6,24.5,0,10.6,52.7,157,anugul,kishorenagar,angapada
odisha,anugul,kishorenagar,3,bamur,38.7,17.5,0,30.6,86.8,158,anugul,kishorenagar,bamur
odisha,anugul,kishorenagar,4,bileinali,24.4,34.5,0,33.1,92,159,anugul,kishorenagar,bileinali
odisha,anugul,kishorenagar,5,dhadarpal,0,6.9,0,15.4,22.3,160,anugul,kishorenagar,dhadarpal
odisha,anugul,kishorenagar,6,dhaurapali,4.9,16.8,0,19.5,41.2,161,anugul,kishorenagar,dhaurapali
odisha,anugul,kishorenagar,7,gaon boinda,11.8,14.1,0,33.8,59.7,162,anugul,kishorenagar,gaon boinda
odisha,anugul,kishorenagar,8,handapa,26.1,36.7,0,45.3,108.1,163,anugul,kishorenagar,handapa
odisha,anugul,kishorenagar,9,himitira,4.6,8,0,43.3,55.9,164,anugul,kishorenagar,himitira
odisha,anugul,kishorenagar,10,jairat,5,2,0,8.7,15.7,165,anugul,kishorenagar,jairat
odisha,anugul,kishorenagar,11,jamunali,13.9,44.6,0,32.3,90.8,166,anugul,kishorenagar,jamunali
odisha,anugul,kishorenagar,12,jharberani,4.2,15.1,0,22.5,41.8,167,anugul,kishorenagar,jharberani
odisha,anugul,kishorenagar,13,kadalimunda,15.5,26.6,0,36.5,78.6,168,anugul,kishorenagar,kadalimunda
odisha,anugul,kishorenagar,14,kanteikulia,8.5,6.1,0,16,30.6,169,anugul,kishorenagar,kanteikulia
odisha,anugul,kishorenagar,15,kataranga,13.1,17.1,0,21,51.2,170,anugul,kishorenagar,kataranga
odisha,anugul,kishorenagar,16,luhamunda,14.9,25.5,0,20.4,60.8,171,anugul,kishorenagar,luhamunda
odisha,anugul,kishorenagar,17,nakchi,1.4,33.4,0,29.2,64,172,anugul,kishorenagar,nakchi
odisha,anugul,kishorenagar,18,nunukapasi,22.1,19.5,0,24.5,66.1,173,anugul,kishorenagar,nunukapasi
odisha,anugul,kishorenagar,19,raniakata,13.7,10.8,0,9.3,33.8,174,anugul,kishorenagar,raniakata
odisha,anugul,kishorenagar,20,sanjamura,36.3,113.8,0,56.8,206.9,175,anugul,kishorenagar,sanjamura
odisha,anugul,kishorenagar,21,thelkonali,1.9,15.7,0,20.9,38.5,176,anugul,kishorenagar,thelkonali
odisha,anugul,kishorenagar,22,urukula,14.3,31.1,0,30.9,76.3,177,anugul,kishorenagar,urukula
odisha,anugul,kishorenagar,23,oskapali,NA,NA,NA,NA,NA,178,anugul,kishorenagar,oskapali
odisha,anugul,pallahara,1,allori,24.5,42.5,0,14.6,81.6,179,anugul,pallahara,allori
odisha,anugul,pallahara,2,badasada,90.2,130.5,0,50.6,271.3,180,anugul,pallahara,badasada
odisha,anugul,pallahara,3,balipasi,7.6,67.7,0,22.2,97.5,181,anugul,pallahara,balipasi
odisha,anugul,pallahara,4,bandhabhuin,7.4,43.1,0,23,73.5,182,anugul,pallahara,bandhabhuin
odisha,anugul,pallahara,5,baradiha,0,93.5,0,1.6,95.1,183,anugul,pallahara,baradiha
odisha,anugul,pallahara,6,batisuan,28.4,94.5,0,12.8,135.7,184,anugul,pallahara,batisuan
odisha,anugul,pallahara,7,chasagurujang,22.4,59.6,0,25.9,107.9,185,anugul,pallahara,chasagurujang
odisha,anugul,pallahara,8,dimiria,19.5,38,0,71.5,129,186,anugul,pallahara,dimiria
odisha,anugul,pallahara,9,injidi,36.4,94,0,24,154.4,187,anugul,pallahara,injidi
odisha,anugul,pallahara,10,iswarnagar,21.4,161.6,0,30.4,213.4,188,anugul,pallahara,iswarnagar
odisha,anugul,pallahara,11,jharabeda,11,84.4,0,19,114.4,189,anugul,pallahara,jharabeda
odisha,anugul,pallahara,12,karadapal,52.4,94.8,0,35.6,182.8,190,anugul,pallahara,karadapal
odisha,anugul,pallahara,13,khamara,27.7,12.3,0,14,54,191,anugul,pallahara,khamara
