g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,updated_district_name,updated_block_name,updated_gp_name
75,4722,baragarh,yes,gaisilet,yes,sandhibahal,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,17,sandhibahal,0,19.86,12.54,12.69,0.83,0,26.07,-6.21,0.01,baragarh,gaisilet,sandhibahal
76,4723,baragarh,yes,gaisilet,yes,sardhapali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,18,sardhapali,0,21.96,14.79,7.12,0.2,0,22.11,-0.15,0.03,baragarh,gaisilet,sardhapali
77,4724,baragarh,yes,gaisilet,yes,talpali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,19,talpali,0,39.29,17.1,22.95,1.42,0,41.47,-2.18,0.02,baragarh,gaisilet,talpali
78,4682,baragarh,yes,bijepur,yes,badabaunsen,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,1,badabaunsen,2.52,21.34,10.58,15.82,0,0,26.41,-5.08,0.51,baragarh,bijepur,badabaunsen
79,4683,baragarh,yes,bijepur,yes,badbrahmani,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,2,badbrahmani,0,1,10.6,9.81,0,0,20.41,-19.41,0,baragarh,bijepur,badbrahmani
80,4684,baragarh,yes,bijepur,yes,bairakhapali,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,3,bairakhapali,0.1,1.42,9.31,4.39,0,0,13.7,-12.28,0.17,baragarh,bijepur,bairakhapali
81,4685,baragarh,yes,bijepur,yes,barmunda,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,4,barmunda,0.75,13.84,13.62,4.59,0,0,18.21,-4.37,0.16,baragarh,bijepur,barmunda
82,4686,baragarh,yes,bijepur,yes,beniachal,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,5,beniachal,0.24,1.06,13.77,2.19,0,0,15.96,-14.9,0,baragarh,bijepur,beniachal
83,4687,baragarh,yes,bijepur,yes,bhatigaon,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,6,bhatigaon,1.06,24.4,23.56,1.65,0,0,25.21,-0.8,0.17,baragarh,bijepur,bhatigaon
84,4688,baragarh,yes,bijepur,yes,bijepur,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,7,bijepur,1.43,1.43,16.56,0.06,0,0,16.62,-15.18,0.02,baragarh,bijepur,bijepur
85,4689,baragarh,yes,bijepur,yes,budapali,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,8,budapali,0.23,4.32,11.32,0,0,0,11.32,-7,0.08,baragarh,bijepur,budapali
86,4690,baragarh,yes,bijepur,yes,charpali (new),yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,9,charpali (new),0.61,10.64,10.36,3.12,0,0,13.48,-2.83,0.19,baragarh,bijepur,charpali (new)
87,4691,baragarh,yes,bijepur,yes,ganthiapali,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,10,ganthiapali,0.55,1.27,13.83,0.64,0,0,14.46,-13.19,0,baragarh,bijepur,ganthiapali
88,4692,baragarh,yes,bijepur,yes,jaring,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,11,jaring,0,4.36,9,0,0,0,9,-4.64,0.14,baragarh,bijepur,jaring
89,4693,baragarh,yes,bijepur,yes,jokhipali,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,12,jokhipali,0.06,9.19,11.18,2.88,0,0,14.06,-4.87,0.02,baragarh,bijepur,jokhipali
90,4694,baragarh,yes,bijepur,yes,kharmunda,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,13,kharmunda,0.88,9,11.73,3.94,0,0,15.67,-6.67,0,baragarh,bijepur,kharmunda
91,4695,baragarh,yes,bijepur,yes,laumunda,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,14,laumunda,0,6.01,9.67,2.18,0,0,11.84,-5.83,0.02,baragarh,bijepur,laumunda
92,4696,baragarh,yes,bijepur,yes,m.srigida,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,15,m.srigida,1.92,5.86,8,1.19,0,0,9.19,-3.33,0.02,baragarh,bijepur,m.srigida
93,4697,baragarh,yes,bijepur,yes,pada,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,16,pada,0.32,6.41,13.61,8.05,0,0,21.66,-15.25,0.37,baragarh,bijepur,pada
