g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20,updated_district_name,updated_block_name,updated_gp_name
49,4758,baragarh,yes,padampur,yes,purena,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,20,purena,0.63,29.86,29.36,1.58,0,0,30.94,-1.08,0.21,baragarh,padampur,purena
50,4740,baragarh,yes,padampur,yes,barikel,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,2,barikel,1.49,40.61,38.16,0.97,0,0,39.13,1.48,0.24,baragarh,padampur,barikel
51,4739,baragarh,yes,padampur,yes,barihapali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,1,barihapali,0.6,28.78,29.06,1,0,0,30.06,-1.28,0.25,baragarh,padampur,barihapali
52,4742,baragarh,yes,padampur,yes,budamal,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,4,budamal,0.9,41.84,37.36,4.14,0.31,0,41.82,0.02,0,baragarh,padampur,budamal
53,4743,baragarh,yes,padampur,yes,buden,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,5,buden,0.7,40.16,33.83,6.79,0.52,0,41.14,-0.99,0.34,baragarh,padampur,buden
54,4741,baragarh,yes,padampur,yes,bheunria,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,3,bheunria,0.96,31.07,21.65,9,0.49,0,31.13,-0.06,0.15,baragarh,padampur,bheunria
55,4755,baragarh,yes,padampur,yes,mahulpali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,17,mahulpali,0,13.08,12.11,1.91,0,0,14.02,-0.95,0.06,baragarh,padampur,mahulpali
56,4756,baragarh,yes,padampur,yes,melchhamunda,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,18,melchhamunda,1.64,26.39,25.93,3.97,0.37,0,30.26,-3.88,0.03,baragarh,padampur,melchhamunda
57,4759,baragarh,yes,padampur,yes,sargibahal,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,21,sargibahal,1,53.07,49.68,2.72,0,0,52.4,0.67,0.75,baragarh,padampur,sargibahal
58,4754,baragarh,yes,padampur,yes,loharpali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,16,loharpali,1.15,59.06,51.78,6.73,0.52,0,59.04,0.02,0,baragarh,padampur,loharpali
59,4706,baragarh,yes,gaisilet,yes,buromunda,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,1,buromunda,0,91.09,45.72,40.69,5.31,0,91.72,-0.63,0.22,baragarh,gaisilet,buromunda
60,4707,baragarh,yes,gaisilet,yes,chantipali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,2,chantipali,2.54,148.71,84.4,58.06,8.38,0,150.84,-2.13,0.47,baragarh,gaisilet,chantipali
61,4708,baragarh,yes,gaisilet,yes,chikhili,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,3,chikhili,0.06,30.8,30.99,0.1,0,0,31.09,-0.29,0.13,baragarh,gaisilet,chikhili
62,4709,baragarh,yes,gaisilet,yes,dangbahal,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,4,dangbahal,0.63,68.42,28.73,35.61,5.22,0,69.57,-1.15,0.09,baragarh,gaisilet,dangbahal
63,4710,baragarh,yes,gaisilet,yes,firingimal,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,5,firingimal,0,180.14,115.59,57.46,7.45,0,180.49,-0.35,0.79,baragarh,gaisilet,firingimal
64,4711,baragarh,yes,gaisilet,yes,gajsilet,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,6,gajsilet,0.31,92.16,65.04,27.68,3.49,0,96.2,-4.04,0,baragarh,gaisilet,gajsilet
65,4712,baragarh,yes,gaisilet,yes,ganiapali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,7,ganiapali,1.39,36.3,34.88,0,0,0,34.88,1.41,0.14,baragarh,gaisilet,ganiapali
66,4713,baragarh,yes,gaisilet,yes,gauramunda,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,8,gauramunda,-11.5,31.21,28.73,12.52,1.95,0,43.21,-12,0,baragarh,gaisilet,gauramunda
67,4714,baragarh,yes,gaisilet,yes,guderpali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,9,guderpali,0,18.43,18.83,0.08,0,0,18.91,-0.48,0.03,baragarh,gaisilet,guderpali
68,4715,baragarh,yes,gaisilet,yes,jagalpat,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,10,jagalpat,0,46.86,45.51,3.31,0.38,0,49.2,-2.34,0.03,baragarh,gaisilet,jagalpat
69,4716,baragarh,yes,gaisilet,yes,jamutpali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,11,jamutpali,0,53.76,32.09,20.35,2.43,0,54.86,-1.09,0,baragarh,gaisilet,jamutpali
70,4717,baragarh,yes,gaisilet,yes,kandagad,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,12,kandagad,0,61.92,36.85,22.38,2.72,0,61.96,-0.04,0,baragarh,gaisilet,kandagad
