g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Sl.No,s_gp,SC,ST,Minority,Others,Total,updated_district_name,updated_block_name,updated_gp_name
26,803,baragarh,yes,paikmal,yes,kansada,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,12,kansada,32.9,200.9,0,15.7,249.5,baragarh,paikmal,kansada
27,804,baragarh,yes,paikmal,yes,kechhodadar,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,13,kechhodadar,13.9,125.5,0,27.3,166.7,baragarh,paikmal,kechhodadar
28,805,baragarh,yes,paikmal,yes,kermelabahal,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,14,kermelabahal,16.1,117,0,21.2,154.3,baragarh,paikmal,kermelabahal
29,806,baragarh,yes,paikmal,yes,lakhamara,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,15,lakhamara,72.5,48.2,0,59.8,180.5,baragarh,paikmal,lakhamara
30,807,baragarh,yes,paikmal,yes,mandiadhipa,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,16,mandiadhipa,21,52,0,40.2,113.2,baragarh,paikmal,mandiadhipa
31,808,baragarh,yes,paikmal,yes,mandosil,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,17,mandosil,30.7,139.5,0,49,219.2,baragarh,paikmal,mandosil
32,809,baragarh,yes,paikmal,yes,mithapali,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,18,mithapali,47.2,100.1,0,38.8,186.1,baragarh,paikmal,mithapali
33,810,baragarh,yes,paikmal,yes,paikmal,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,19,paikmal,45.5,50.8,1,39.6,136.9,baragarh,paikmal,paikmal
34,811,baragarh,yes,paikmal,yes,palsada,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,20,palsada,22.9,166.2,0,23.9,213,baragarh,paikmal,palsada
35,812,baragarh,yes,paikmal,yes,saraikela,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,21,saraikela,36.6,28.3,0,53,117.9,baragarh,paikmal,saraikela
36,813,baragarh,yes,paikmal,yes,temeri,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,22,temeri,22.9,37.3,0,48.7,108.9,baragarh,paikmal,temeri
37,782,baragarh,yes,padampur,yes,kansar,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,13,kansar,38,98.2,0,32.2,168.4,baragarh,padampur,kansar
38,783,baragarh,yes,padampur,yes,kansingha,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,14,kansingha,22.6,62.7,0,49.7,135,baragarh,padampur,kansingha
39,784,baragarh,yes,padampur,yes,khaliapali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,15,khaliapali,33.7,40,0,95.8,169.5,baragarh,padampur,khaliapali
40,775,baragarh,yes,padampur,yes,charpali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,6,charpali,16.1,23,0,31.6,70.7,baragarh,padampur,charpali
41,781,baragarh,yes,padampur,yes,jamartala,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,12,jamartala,4.7,38.1,0,19,61.8,baragarh,padampur,jamartala
