State,District,Block,Sl. No,Name of Gram Panchayat,SC,ST,Minority,Others,Total
Odisha,Baragarh,Bheden,3,Arjunda,15.7,18,0,39.4,73.1
Odisha,Baragarh,Bheden,4,Bakti,25.1,3.5,0,47.9,76.5
Odisha,Baragarh,Bheden,5,Bheden,18.9,1.7,0,24.7,45.3
Odisha,Baragarh,Bheden,6,Chichinda,16.1,8.4,0,52.3,76.8
Odisha,Baragarh,Bheden,7,Dalab,27.2,20.2,0,16,63.4
Odisha,Baragarh,Bheden,8,Deshbhatli,29.1,35.4,0,36.2,100.7
Odisha,Baragarh,Bheden,9,Kubedega,2.6,11.9,0,28.2,42.7
Odisha,Baragarh,Bheden,10,Luhakhandi,14.5,6.2,0,36,56.7
Odisha,Baragarh,Bheden,11,Lupursingha,5.8,0,0,35.9,41.7
Odisha,Baragarh,Bheden,12,Mahulpali,46.4,18.8,0,34.8,100
Odisha,Baragarh,Bheden,13,Manpur,74.6,20.4,0,55.4,150.4
Odisha,Baragarh,Bheden,14,Papanga,20.9,6.2,0,67,94.1
Odisha,Baragarh,Bheden,15,Remunda,52,4.4,0.3,52.5,109.2
Odisha,Baragarh,Bheden,16,Reshma,51.4,8,0,51.8,111.2
Odisha,Baragarh,Bheden,17,Rusuda,40.8,1.6,0,50.2,92.6
Odisha,Baragarh,Bheden,18,Sankirda,34.1,34.2,0.7,44,113
Odisha,Baragarh,Bheden,19,Sialkhandtha,20.1,18.2,0,20.1,58.4
Odisha,Baragarh,Bheden,20,Sunalarambha,44,14.4,0,54.6,113
Odisha,Baragarh,Bheden,21,Talmenda,9,5.5,0,65.7,80.2
Odisha,Baragarh,Bheden,,Total,593.2,274.4,1,900.6,1769.2
Odisha,Baragarh,Bijepur,1,Badabaunsen,32.3,11.4,0,77.8,121.5
Odisha,Baragarh,Bijepur,2,Badbrahmani,8.7,4,0,43.1,55.8
Odisha,Baragarh,Bijepur,3,Bairakhapali,2.4,3.8,0,45.1,51.3
Odisha,Baragarh,Bijepur,4,Barmunda,12.9,23.3,0,34.8,71
Odisha,Baragarh,Bijepur,5,Beniachal,18.1,5.9,0,36.1,60.1
Odisha,Baragarh,Bijepur,6,Bhatigaon,60.1,25.4,0,80.7,166.2
Odisha,Baragarh,Bijepur,7,Bijepur,15.5,5.6,0,30,51.1
Odisha,Baragarh,Bijepur,8,Budapali,10.3,6.1,0,44,60.4
Odisha,Baragarh,Bijepur,9,Charpali (New),17.4,12.2,0,33.8,63.4
Odisha,Baragarh,Bijepur,10,Ganthiapali,14,8.6,0,51.8,74.4
Odisha,Baragarh,Bijepur,11,Jaring,21.3,3.2,0,33.2,57.7
Odisha,Baragarh,Bijepur,12,Jokhipali,24.7,5.5,0,54.3,84.5
Odisha,Baragarh,Bijepur,13,Kharmunda,21.9,12.5,0,37.7,72.1
Odisha,Baragarh,Bijepur,14,Laumunda,21.6,12,0,76.3,109.9
Odisha,Baragarh,Bijepur,15,M.Srigida,11.6,15,0,31.5,58.1
Odisha,Baragarh,Bijepur,16,Pada,22.5,16,0,23.1,61.6
Odisha,Baragarh,Bijepur,17,Pahandi,17.9,16.8,0,27.2,61.9
Odisha,Baragarh,Bijepur,18,Patharla,25.2,33.2,0,59.2,117.6
Odisha,Baragarh,Bijepur,19,Saipali,29.6,29.3,0,40.8,99.7
Odisha,Baragarh,Bijepur,20,Samaleipadar,6.7,3.2,0,26.5,36.4
Odisha,Baragarh,Bijepur,21,Sanbausen,36.3,26,0,34,96.3
Odisha,Baragarh,Bijepur,22,Surubali,8.7,0.3,0,42.1,51.1
Odisha,Baragarh,Bijepur,23,T.Gandpali,30.5,14.6,0,52.2,97.3
Odisha,Baragarh,Bijepur,24,Talpadar,26.6,13,0,38.4,78
Odisha,Baragarh,Bijepur,,Total,496.8,306.9,0,1053.7,1857.4
