s_state,s_district,s_block,Sl. No,s_gp,SC,ST,Minority,Others,Total,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,anugul,pallahara,2,badasada,39.3,66.2,0,39,144.5,180,anugul,pallahara,badasada
odisha,anugul,pallahara,3,balipasi,3.5,31.1,0,11.1,45.7,181,anugul,pallahara,balipasi
odisha,anugul,pallahara,4,bandhabhuin,10.9,18.9,0,13.3,43.1,182,anugul,pallahara,bandhabhuin
odisha,anugul,pallahara,5,baradiha,0,46.2,0,0.3,46.5,183,anugul,pallahara,baradiha
odisha,anugul,pallahara,6,batisuan,13.1,63.1,0,17.2,93.4,184,anugul,pallahara,batisuan
odisha,anugul,pallahara,7,chasagurujang,12.9,45.8,0,26.6,85.3,185,anugul,pallahara,chasagurujang
odisha,anugul,pallahara,8,dimiria,6.2,16.7,0,57.3,80.2,186,anugul,pallahara,dimiria
odisha,anugul,pallahara,9,injidi,21.6,42,0,25.3,88.9,187,anugul,pallahara,injidi
odisha,anugul,pallahara,10,iswarnagar,11,63.6,0,17.1,91.7,188,anugul,pallahara,iswarnagar
odisha,anugul,pallahara,11,jharabeda,9.8,74.6,0,5.7,90.1,189,anugul,pallahara,jharabeda
odisha,anugul,pallahara,12,karadapal,39.8,62.8,0,41,143.6,190,anugul,pallahara,karadapal
odisha,anugul,pallahara,13,khamara,44.8,35.5,0,19.7,100,191,anugul,pallahara,khamara
odisha,anugul,pallahara,14,khemala,11.2,32.1,0,17.5,60.8,192,anugul,pallahara,khemala
odisha,anugul,pallahara,15,kunjam,5.9,30.9,0,9.2,46,193,anugul,pallahara,kunjam
odisha,anugul,pallahara,16,munduribeda,18,21.7,0,18.4,58.1,194,anugul,pallahara,munduribeda
odisha,anugul,pallahara,17,nagira,0,40.1,0,0.3,40.4,195,anugul,pallahara,nagira
odisha,anugul,pallahara,18,namapashi,2.6,56.3,0,6.6,65.5,196,anugul,pallahara,namapashi
odisha,anugul,pallahara,19,nijigada,43.4,49,0,29,121.4,197,anugul,pallahara,nijigada
odisha,anugul,pallahara,20,pabitrapur,11.2,11.1,0,28.5,50.8,198,anugul,pallahara,pabitrapur
odisha,anugul,pallahara,21,parachhata,17.5,24.1,0,9.9,51.5,199,anugul,pallahara,parachhata
odisha,anugul,pallahara,22,pechamundi,6.6,44.1,0,8.8,59.5,200,anugul,pallahara,pechamundi
odisha,anugul,pallahara,23,rajadang,4.5,6.8,0,15.2,26.5,201,anugul,pallahara,rajadang
odisha,anugul,pallahara,24,rohila,4.8,94.7,0,54.3,153.8,202,anugul,pallahara,rohila
odisha,anugul,pallahara,25,saida,2.8,41.8,0,12.3,56.9,203,anugul,pallahara,saida
odisha,anugul,pallahara,26,sankhamur,26,28.2,0,29.9,84.1,204,anugul,pallahara,sankhamur
odisha,anugul,pallahara,27,seagarh,16.2,33.4,0,11.4,61,205,anugul,pallahara,seagarh
odisha,anugul,talcher,1,bantol,2.4,1.2,0,0,3.6,206,anugul,talcher,bantol
odisha,anugul,talcher,2,brajanathpur,0,2,0,5.2,7.2,207,anugul,talcher,brajanathpur
odisha,anugul,talcher,3,danara,0.5,0,0,0,0.5,208,anugul,talcher,danara
odisha,anugul,talcher,4,dera,2.4,0,0,1.2,3.6,209,anugul,talcher,dera
odisha,anugul,talcher,5,dharampur,6.2,2.3,0,2.9,11.4,210,anugul,talcher,dharampur
odisha,anugul,talcher,6,ghantapada,0,0,0,1.5,1.5,211,anugul,talcher,ghantapada
odisha,anugul,talcher,7,gobra,0.3,0,0,1.2,1.5,212,anugul,talcher,gobra
odisha,anugul,talcher,8,gopal prasad,0,1,0,0,1,213,anugul,talcher,gopal prasad
odisha,anugul,talcher,9,gurujang,0,1.9,0,0.7,2.6,214,anugul,talcher,gurujang
odisha,anugul,talcher,10,gurujanguli,3.6,0,0,0.7,4.3,215,anugul,talcher,gurujanguli
odisha,anugul,talcher,11,hensmul,2.4,4.3,0,1.2,7.9,216,anugul,talcher,hensmul
odisha,anugul,talcher,12,jaganathpur,1.2,0,0.7,0,1.9,217,anugul,talcher,jaganathpur
odisha,anugul,talcher,13,kandhal,0.3,2.7,0,2.5,5.5,218,anugul,talcher,kandhal
odisha,anugul,talcher,14,kankili,1,0.3,0,1.2,2.5,219,anugul,talcher,kankili
odisha,anugul,talcher,15,karnapur,0.6,0,0,2.5,3.1,220,anugul,talcher,karnapur
odisha,anugul,talcher,16,kumunda,1,0,0,0,1,221,anugul,talcher,kumunda
odisha,anugul,talcher,17,tentulei,0,0,0,1.2,1.2,222,anugul,talcher,tentulei
odisha,anugul,talcher,18,badajorada,NA,NA,NA,NA,NA,223,anugul,talcher,badajorada
odisha,anugul,talcher,19,kalamchuin,NA,NA,NA,NA,NA,224,anugul,talcher,kalamchuin
odisha,anugul,talcher,20,padmabatipur,NA,NA,NA,NA,NA,225,anugul,talcher,padmabatipur
odisha,anugul,talcher,21,santhapada,NA,NA,NA,NA,NA,226,anugul,talcher,santhapada
odisha,balasore,bahanaga,1,anji,3.5,0,0,23.1,26.6,227,balasore,bahanaga,anji
odisha,balasore,bahanaga,2,aruhabad,15.9,0,0,20.6,36.5,228,balasore,bahanaga,aruhabad
odisha,balasore,bahanaga,3,avana,13.5,0,0,12.9,26.4,229,balasore,bahanaga,avana
odisha,balasore,bahanaga,4,bahanaga,26.8,1.4,1.6,30.9,60.7,230,balasore,bahanaga,bahanaga
odisha,balasore,bahanaga,5,baripada,52.8,0,0,25.1,77.9,231,balasore,bahanaga,baripada
odisha,balasore,bahanaga,6,bishnupur,9.6,0,0,10.8,20.4,232,balasore,bahanaga,bishnupur
odisha,balasore,bahanaga,7,chakajaganathapur,5.8,2.2,0,14.9,22.9,233,balasore,bahanaga,chakajaganathapur
odisha,balasore,bahanaga,8,chittal,4.2,0,0,19,23.2,234,balasore,bahanaga,chittal
odisha,balasore,bahanaga,9,dandaharipur,36.2,3.8,0,45.5,85.5,235,balasore,bahanaga,dandaharipur
odisha,balasore,bahanaga,10,gopalpur,26.2,2.1,0,20.1,48.4,236,balasore,bahanaga,gopalpur
odisha,balasore,bahanaga,11,kalyani,19.9,0,0,20,39.9,237,balasore,bahanaga,kalyani
