g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc
140,641,baragarh,yes,bargarh,yes,khaliapali,yes,3,3 bargarh,bargarh
141,642,baragarh,yes,bargarh,yes,khandtha,yes,3,3 bargarh,bargarh
142,643,baragarh,yes,bargarh,yes,khuntpali,yes,3,3 bargarh,bargarh
143,644,baragarh,yes,bargarh,yes,kuruan,yes,3,3 bargarh,bargarh
144,645,baragarh,yes,bargarh,yes,n.jampali,yes,3,3 bargarh,bargarh
145,646,baragarh,yes,bargarh,yes,nileswar,yes,3,3 bargarh,bargarh
146,647,baragarh,yes,bargarh,yes,patharla,yes,3,3 bargarh,bargarh
147,648,baragarh,yes,bargarh,yes,s.dumerpali,yes,3,3 bargarh,bargarh
148,649,baragarh,yes,bargarh,yes,sarsara,yes,3,3 bargarh,bargarh
149,650,baragarh,yes,bargarh,yes,talsirgida,yes,3,3 bargarh,bargarh
150,651,baragarh,yes,bargarh,yes,tora,yes,3,3 bargarh,bargarh
151,652,baragarh,yes,bargarh,yes,tumgaon,yes,3,3 bargarh,bargarh
152,602,baragarh,yes,attabira,yes,amlipali,yes,4,4 attabira (sc),bargarh
153,603,baragarh,yes,attabira,yes,bugbuga,yes,4,4 attabira (sc),bargarh
154,604,baragarh,yes,attabira,yes,chakuli,yes,4,4 attabira (sc),bargarh
155,605,baragarh,yes,attabira,yes,dulampur,yes,4,4 attabira (sc),bargarh
156,606,baragarh,yes,attabira,yes,godbhaga,yes,4,4 attabira (sc),bargarh
157,607,baragarh,yes,attabira,yes,hirlipali,yes,4,4 attabira (sc),bargarh
158,608,baragarh,yes,attabira,yes,janged,yes,4,4 attabira (sc),bargarh
159,609,baragarh,yes,attabira,yes,janhapada,yes,4,4 attabira (sc),bargarh
160,610,baragarh,yes,attabira,yes,jhiliminda,yes,4,4 attabira (sc),bargarh
161,611,baragarh,yes,attabira,yes,kadobahal,yes,4,4 attabira (sc),bargarh
162,612,baragarh,yes,attabira,yes,kharamunda,yes,4,4 attabira (sc),bargarh
163,613,baragarh,yes,attabira,yes,kulitatukura,yes,4,4 attabira (sc),bargarh
164,614,baragarh,yes,attabira,yes,kulunda,yes,4,4 attabira (sc),bargarh
165,615,baragarh,yes,attabira,yes,kumelsingha,yes,4,4 attabira (sc),bargarh
166,616,baragarh,yes,attabira,yes,lachida,yes,4,4 attabira (sc),bargarh
167,617,baragarh,yes,attabira,yes,lahanda,yes,4,4 attabira (sc),bargarh
168,618,baragarh,yes,attabira,yes,larambha,yes,4,4 attabira (sc),bargarh
169,619,baragarh,yes,attabira,yes,larasara,yes,4,4 attabira (sc),bargarh
170,620,baragarh,yes,attabira,yes,manapara,yes,4,4 attabira (sc),bargarh
171,621,baragarh,yes,attabira,yes,paharsrigida,yes,4,4 attabira (sc),bargarh
172,622,baragarh,yes,attabira,yes,silat,yes,4,4 attabira (sc),bargarh
173,623,baragarh,yes,attabira,yes,tamparsara,yes,4,4 attabira (sc),bargarh
174,624,baragarh,yes,attabira,yes,tangarpali,yes,4,4 attabira (sc),bargarh
175,625,baragarh,yes,attabira,yes,tope,yes,4,4 attabira (sc),bargarh
176,692,baragarh,yes,bheden,yes,ainlapali,yes,4,4 attabira (sc),bargarh
177,693,baragarh,yes,bheden,yes,areigudi,yes,4,4 attabira (sc),bargarh
178,694,baragarh,yes,bheden,yes,arjunda,yes,4,4 attabira (sc),bargarh
179,695,baragarh,yes,bheden,yes,bakti,yes,4,4 attabira (sc),bargarh
180,696,baragarh,yes,bheden,yes,bheden,yes,4,4 attabira (sc),bargarh
181,697,baragarh,yes,bheden,yes,chichinda,yes,4,4 attabira (sc),bargarh
182,698,baragarh,yes,bheden,yes,dalab,yes,4,4 attabira (sc),bargarh
183,699,baragarh,yes,bheden,yes,deshbhatli,yes,4,4 attabira (sc),bargarh
184,700,baragarh,yes,bheden,yes,kubedega,yes,4,4 attabira (sc),bargarh
185,701,baragarh,yes,bheden,yes,luhakhandi,yes,4,4 attabira (sc),bargarh
186,702,baragarh,yes,bheden,yes,lupursingha,yes,4,4 attabira (sc),bargarh
187,703,baragarh,yes,bheden,yes,mahulpali,yes,4,4 attabira (sc),bargarh
188,704,baragarh,yes,bheden,yes,manpur,yes,4,4 attabira (sc),bargarh
189,705,baragarh,yes,bheden,yes,papanga,yes,4,4 attabira (sc),bargarh
190,706,baragarh,yes,bheden,yes,remunda,yes,4,4 attabira (sc),bargarh
191,707,baragarh,yes,bheden,yes,reshma,yes,4,4 attabira (sc),bargarh
192,708,baragarh,yes,bheden,yes,rusuda,yes,4,4 attabira (sc),bargarh
193,709,baragarh,yes,bheden,yes,sankirda,yes,4,4 attabira (sc),bargarh
194,710,baragarh,yes,bheden,yes,sialkhandtha,yes,4,4 attabira (sc),bargarh
195,711,baragarh,yes,bheden,yes,sunalarambha,yes,4,4 attabira (sc),bargarh
196,712,baragarh,yes,bheden,yes,talmenda,yes,4,4 attabira (sc),bargarh
197,814,baragarh,yes,sohella,yes,bausenmura,yes,5,5 bhatli,bargarh
198,815,baragarh,yes,sohella,yes,beherapali,yes,5,5 bhatli,bargarh
199,816,baragarh,yes,sohella,yes,bijapali,yes,5,5 bhatli,bargarh
200,817,baragarh,yes,sohella,yes,birjam,yes,5,5 bhatli,bargarh
201,818,baragarh,yes,sohella,yes,chhuriapali,yes,5,5 bhatli,bargarh
202,819,baragarh,yes,sohella,yes,dumberpali,yes,5,5 bhatli,bargarh
203,820,baragarh,yes,sohella,yes,garvana,yes,5,5 bhatli,bargarh
204,821,baragarh,yes,sohella,yes,ghess,yes,5,5 bhatli,bargarh
205,822,baragarh,yes,sohella,yes,jatla,yes,5,5 bhatli,bargarh
206,823,baragarh,yes,sohella,yes,jhar,yes,5,5 bhatli,bargarh
207,824,baragarh,yes,sohella,yes,kalangapali,yes,5,5 bhatli,bargarh
208,825,baragarh,yes,sohella,yes,kanapali,yes,5,5 bhatli,bargarh
209,826,baragarh,yes,sohella,yes,kangoan,yes,5,5 bhatli,bargarh
210,827,baragarh,yes,sohella,yes,karandols,yes,5,5 bhatli,bargarh
211,828,baragarh,yes,sohella,yes,kuchipali,yes,5,5 bhatli,bargarh
212,829,baragarh,yes,sohella,yes,lebidi,yes,5,5 bhatli,bargarh
213,830,baragarh,yes,sohella,yes,pandkipali,yes,5,5 bhatli,bargarh
214,831,baragarh,yes,sohella,yes,panimura,yes,5,5 bhatli,bargarh
215,832,baragarh,yes,sohella,yes,petupali,yes,5,5 bhatli,bargarh
216,833,baragarh,yes,sohella,yes,rengali,yes,5,5 bhatli,bargarh
217,834,baragarh,yes,sohella,yes,salepali,yes,5,5 bhatli,bargarh
218,835,baragarh,yes,sohella,yes,sanimal,yes,5,5 bhatli,bargarh
219,836,baragarh,yes,sohella,yes,sarkanda,yes,5,5 bhatli,bargarh
220,837,baragarh,yes,sohella,yes,sohella.,yes,5,5 bhatli,bargarh
221,838,baragarh,yes,sohella,yes,srigida,yes,5,5 bhatli,bargarh
222,839,baragarh,yes,sohella,yes,tabda,yes,5,5 bhatli,bargarh
223,840,baragarh,yes,sohella,yes,tungibandhali,yes,5,5 bhatli,bargarh
224,676,baragarh,yes,bhatli,yes,bhadigaon,yes,5,5 bhatli,bargarh
225,677,baragarh,yes,bhatli,yes,bhatli,yes,5,5 bhatli,bargarh
226,678,baragarh,yes,bhatli,yes,chadeigaon,yes,5,5 bhatli,bargarh
227,679,baragarh,yes,bhatli,yes,damalpali,yes,5,5 bhatli,bargarh
228,680,baragarh,yes,bhatli,yes,halupali,yes,5,5 bhatli,bargarh
229,681,baragarh,yes,bhatli,yes,hatisar,yes,5,5 bhatli,bargarh
230,682,baragarh,yes,bhatli,yes,kamgaon,yes,5,5 bhatli,bargarh
231,683,baragarh,yes,bhatli,yes,kashaipali,yes,5,5 bhatli,bargarh
232,684,baragarh,yes,bhatli,yes,kelendupali,yes,5,5 bhatli,bargarh
233,685,baragarh,yes,bhatli,yes,kharmunda,yes,5,5 bhatli,bargarh
234,686,baragarh,yes,bhatli,yes,mulbar,yes,5,5 bhatli,bargarh
235,687,baragarh,yes,bhatli,yes,narangpur,yes,5,5 bhatli,bargarh
236,688,baragarh,yes,bhatli,yes,nuagarh,yes,5,5 bhatli,bargarh
237,689,baragarh,yes,bhatli,yes,sukuda,yes,5,5 bhatli,bargarh
238,690,baragarh,yes,bhatli,yes,tejagula,yes,5,5 bhatli,bargarh
239,691,baragarh,yes,bhatli,yes,urduna,yes,5,5 bhatli,bargarh
240,587,baragarh,yes,ambabhona,yes,ambabhona,yes,5,5 bhatli,bargarh
241,588,baragarh,yes,ambabhona,yes,banjipali,yes,5,5 bhatli,bargarh
242,589,baragarh,yes,ambabhona,yes,bhainatara,yes,5,5 bhatli,bargarh
243,590,baragarh,yes,ambabhona,yes,bhukta,yes,5,5 bhatli,bargarh
244,591,baragarh,yes,ambabhona,yes,bungapali,yes,5,5 bhatli,bargarh
245,592,baragarh,yes,ambabhona,yes,dunguri,yes,5,5 bhatli,bargarh
246,593,baragarh,yes,ambabhona,yes,dwari,yes,5,5 bhatli,bargarh
247,594,baragarh,yes,ambabhona,yes,kandpala,yes,5,5 bhatli,bargarh
248,595,baragarh,yes,ambabhona,yes,kapasira,yes,5,5 bhatli,bargarh
249,596,baragarh,yes,ambabhona,yes,karla,yes,5,5 bhatli,bargarh
250,597,baragarh,yes,ambabhona,yes,khola,yes,5,5 bhatli,bargarh
251,598,baragarh,yes,ambabhona,yes,kumbho,yes,5,5 bhatli,bargarh
252,599,baragarh,yes,ambabhona,yes,lakhanpur,yes,5,5 bhatli,bargarh
253,600,baragarh,yes,ambabhona,yes,ruchida,yes,5,5 bhatli,bargarh
254,601,baragarh,yes,ambabhona,yes,uttam,yes,5,5 bhatli,bargarh
255,3314,jharsuguda,yes,lakhanpur,yes,attabira,yes,6,6 brajarajnagar,bargarh
256,3315,jharsuguda,yes,lakhanpur,yes,badimal,yes,6,6 brajarajnagar,bargarh
257,3316,jharsuguda,yes,lakhanpur,yes,baghmunda,yes,6,6 brajarajnagar,bargarh
258,3318,jharsuguda,yes,lakhanpur,yes,bandhabahal,yes,6,6 brajarajnagar,bargarh
259,3317,jharsuguda,yes,lakhanpur,yes,banjari,yes,6,6 brajarajnagar,bargarh
260,3319,jharsuguda,yes,lakhanpur,yes,bhikampali,yes,6,6 brajarajnagar,bargarh
261,3320,jharsuguda,yes,lakhanpur,yes,bhounrkhol,yes,6,6 brajarajnagar,bargarh
262,3321,jharsuguda,yes,lakhanpur,yes,charpali,yes,6,6 brajarajnagar,bargarh
263,3322,jharsuguda,yes,lakhanpur,yes,dalgaon,yes,6,6 brajarajnagar,bargarh
264,3323,jharsuguda,yes,lakhanpur,yes,jamgaon,yes,6,6 brajarajnagar,bargarh
265,3324,jharsuguda,yes,lakhanpur,yes,kadamdihi,yes,6,6 brajarajnagar,bargarh
266,3325,jharsuguda,yes,lakhanpur,yes,kanaktora,yes,6,6 brajarajnagar,bargarh
267,3326,jharsuguda,yes,lakhanpur,yes,kandheikela,yes,6,6 brajarajnagar,bargarh
268,3327,jharsuguda,yes,lakhanpur,yes,katarbaga,yes,6,6 brajarajnagar,bargarh
269,3328,jharsuguda,yes,lakhanpur,yes,kudaloi,yes,6,6 brajarajnagar,bargarh
270,3329,jharsuguda,yes,lakhanpur,yes,kumarbandh,yes,6,6 brajarajnagar,bargarh
