g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc
138,4608,baragarh,yes,bargarh,yes,kalapani,yes,3,3 bargarh,bargarh
139,4609,baragarh,yes,bargarh,yes,katapali,yes,3,3 bargarh,bargarh
140,4610,baragarh,yes,bargarh,yes,khaliapali,yes,3,3 bargarh,bargarh
141,4611,baragarh,yes,bargarh,yes,khandtha,yes,3,3 bargarh,bargarh
142,4612,baragarh,yes,bargarh,yes,khuntpali,yes,3,3 bargarh,bargarh
143,4613,baragarh,yes,bargarh,yes,kuruan,yes,3,3 bargarh,bargarh
144,4614,baragarh,yes,bargarh,yes,n.jampali,yes,3,3 bargarh,bargarh
145,4615,baragarh,yes,bargarh,yes,nileswar,yes,3,3 bargarh,bargarh
146,4616,baragarh,yes,bargarh,yes,patharla,yes,3,3 bargarh,bargarh
147,4617,baragarh,yes,bargarh,yes,s.dumerpali,yes,3,3 bargarh,bargarh
148,4618,baragarh,yes,bargarh,yes,sarsara,yes,3,3 bargarh,bargarh
149,4619,baragarh,yes,bargarh,yes,talsirgida,yes,3,3 bargarh,bargarh
150,4620,baragarh,yes,bargarh,yes,tora,yes,3,3 bargarh,bargarh
151,4621,baragarh,yes,bargarh,yes,tumgaon,yes,3,3 bargarh,bargarh
152,4571,baragarh,yes,attabira,yes,amlipali,yes,4,4 attabira (sc),bargarh
153,4572,baragarh,yes,attabira,yes,bugbuga,yes,4,4 attabira (sc),bargarh
154,4573,baragarh,yes,attabira,yes,chakuli,yes,4,4 attabira (sc),bargarh
155,4574,baragarh,yes,attabira,yes,dulampur,yes,4,4 attabira (sc),bargarh
156,4575,baragarh,yes,attabira,yes,godbhaga,yes,4,4 attabira (sc),bargarh
157,4576,baragarh,yes,attabira,yes,hirlipali,yes,4,4 attabira (sc),bargarh
158,4577,baragarh,yes,attabira,yes,janged,yes,4,4 attabira (sc),bargarh
159,4578,baragarh,yes,attabira,yes,janhapada,yes,4,4 attabira (sc),bargarh
160,4579,baragarh,yes,attabira,yes,jhiliminda,yes,4,4 attabira (sc),bargarh
161,4580,baragarh,yes,attabira,yes,kadobahal,yes,4,4 attabira (sc),bargarh
162,4581,baragarh,yes,attabira,yes,kharamunda,yes,4,4 attabira (sc),bargarh
163,4582,baragarh,yes,attabira,yes,kulitatukura,yes,4,4 attabira (sc),bargarh
164,4583,baragarh,yes,attabira,yes,kulunda,yes,4,4 attabira (sc),bargarh
165,4584,baragarh,yes,attabira,yes,kumelsingha,yes,4,4 attabira (sc),bargarh
166,4585,baragarh,yes,attabira,yes,lachida,yes,4,4 attabira (sc),bargarh
167,4586,baragarh,yes,attabira,yes,lahanda,yes,4,4 attabira (sc),bargarh
168,4587,baragarh,yes,attabira,yes,larambha,yes,4,4 attabira (sc),bargarh
169,4588,baragarh,yes,attabira,yes,larasara,yes,4,4 attabira (sc),bargarh
170,4589,baragarh,yes,attabira,yes,manapara,yes,4,4 attabira (sc),bargarh
