g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Sl. No,s_gp,SC,ST,Minority,Others,Total,updated_district_name,updated_block_name,updated_gp_name
18,795,baragarh,yes,paikmal,yes,bhubaneswarpur,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,4,bhubaneswarpur,16.8,42.9,0,23.5,83.2,baragarh,paikmal,bhubaneswarpur
19,796,baragarh,yes,paikmal,yes,bukramunda,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,5,bukramunda,16.6,34.4,0,37.6,88.6,baragarh,paikmal,bukramunda
20,797,baragarh,yes,paikmal,yes,chardapali,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,6,chardapali,14.9,40.4,0,17.2,72.5,baragarh,paikmal,chardapali
21,798,baragarh,yes,paikmal,yes,chhendeikela,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,7,chhendeikela,9.6,39,0,28.6,77.2,baragarh,paikmal,chhendeikela
22,799,baragarh,yes,paikmal,yes,chhetgaon,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,8,chhetgaon,10,21.9,0,40.4,72.3,baragarh,paikmal,chhetgaon
23,800,baragarh,yes,paikmal,yes,jamseth,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,9,jamseth,17.3,55.3,1.2,14.4,88.2,baragarh,paikmal,jamseth
24,801,baragarh,yes,paikmal,yes,jharband,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,10,jharband,13,57.5,0,12.8,83.3,baragarh,paikmal,jharband
25,802,baragarh,yes,paikmal,yes,jhitiki,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,11,jhitiki,14.2,62,0,44.4,120.6,baragarh,paikmal,jhitiki
26,803,baragarh,yes,paikmal,yes,kansada,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,12,kansada,21.7,55,0,44.9,121.6,baragarh,paikmal,kansada
27,804,baragarh,yes,paikmal,yes,kechhodadar,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,13,kechhodadar,5.3,47.7,0,21.7,74.7,baragarh,paikmal,kechhodadar
