constituency,constituency_code,level,scheme,year,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due
basta,37,AC,MNREGA,2019-20,0.06000000000000001,656.21,622.45,108.31,1.96,0,732.69,-76.49,9.73
balasore,38,AC,MNREGA,2019-20,4.65,14.07,11.81,26.240000000000002,0.29000000000000004,0,38.33,-24.26,0.71
remuna (sc),39,AC,MNREGA,2019-20,5.52,15.92,23.9,36.5,0.11000000000000001,0,60.51,-44.589999999999996,0.16
attabira (sc),4,AC,MNREGA,2019-20,13.17,441.82,792.6,159.59,3.32,0,955.51,-513.66,2.5100000000000002
nilgiri,40,AC,MNREGA,2019-20,4.84,219.98,216.66,36.339999999999996,0.53,0,253.51,-33.58,1.1
soro (sc),41,AC,MNREGA,2019-20,7.3,58.78,73.68,27.22,0.28,0,101.17,-42.35,1.46
simulia,42,AC,MNREGA,2019-20,2.29,75.14,62.54,82.76,1.09,0,146.4,-71.26,1.07
bhandaripokhari,43,AC,MNREGA,2019-20,-0.06,441.78000000000003,448.06,13.58,0,0,461.62,-19.86,28.52
bhadrak,44,AC,MNREGA,2019-20,0,614.53,610.81,3.92,0,0,614.74,-0.21000000000000002,30.96
basudevpur,45,AC,MNREGA,2019-20,-0.02,466.76,476.84,39.18,0,0,515.96,-49.19,33.64
dhamnagar,46,AC,MNREGA,2019-20,-1.03,561.9,535.06,33.160000000000004,0.28,0,568.49,-6.619999999999999,29.82
chandabal,47,AC,MNREGA,2019-20,-0.04,784.42,762.95,24.56,0,0,787.49,-3.0700000000000003,33.6
binjharpur (sc),48,AC,MNREGA,2019-20,-0.03,1181.67,975.05,237.77,0.09,0,1212.91,-31.240000000000002,21.28
bari,49,AC,MNREGA,2019-20,0,489.71999999999997,517.63,134.52,0.94,0,653.07,-163.33,13.7
bhatli,5,AC,MNREGA,2019-20,18.06,1361.18,1183.48,305.04,1.71,0,1490.22,-129.04,3.8000000000000003
barachana,50,AC,MNREGA,2019-20,0,163.10999999999999,212.61,105.33,0.07,0,318.01,-154.93,3.29
dharmasala,51,AC,MNREGA,2019-20,0,348.82,328.63,121.68,0.11,0,450.44,-101.64,1.5
jajpur,52,AC,MNREGA,2019-20,-0.07,767.25,737.47,89.58,0.02,0,827.13,-59.83,10.38
korei,53,AC,MNREGA,2019-20,0,549.76,473.88,183.75,0.06,0,657.69,-107.88,14.06
sukinda,54,AC,MNREGA,2019-20,0,404.64,382.45,53.059999999999995,0.78,0,436.27,-31.62,5.75
dhenkanal,55,AC,MNREGA,2019-20,4.08,1678.22,1225.43,579.86,11.2,0,1816.58,-138.32999999999998,22.75
hindol (sc),56,AC,MNREGA,2019-20,11.9,1964.51,1510.02,528.64,6.59,0,2045.32,-80.78,27.04
kamakhyanagar,57,AC,MNREGA,2019-20,11.91,1283.32,852.09,527.08,2.07,0,1381.22,-97.88,27.22
parjanga,58,AC,MNREGA,2019-20,11.16,2038.06,1456.92,651.95,31.33,0,2140.18,-102.11,51.16
pallahara,59,AC,MNREGA,2019-20,5.71,859.6700000000001,658.67,273.19,2.55,0,934.48,-74.75,13.63
brajarajnagar,6,AC,MNREGA,2019-20,0,1172.73,1026.52,190.51,9.63,0,1226.66,-53.94,10.33
talcher,60,AC,MNREGA,2019-20,4.46,78.82,64.92,17.97,0.08,0,82.99,-4.18,1.79
angul,61,AC,MNREGA,2019-20,0.65,104.12,94.92,34.839999999999996,1.4200000000000002,0,131.16,-27.09,1.37
chhendipada (sc),62,AC,MNREGA,2019-20,24.12,275.94,239.01,102.69,0.28,0,341.99,-66.06,4.96
athamallik,63,AC,MNREGA,2019-20,4.67,1049.67,895.3199999999999,163.86,0.52,0,1059.71,-10.03,57.96
birmaharajpur (sc),64,AC,MNREGA,2019-20,0,128.07,77.96,18.5,0,0,96.47,31.57,3.33
sonepur,65,AC,MNREGA,2019-20,0,413.16,347.74,23.69,0.8500000000000001,0,372.25,40.89,17.02
loisingha (sc),66,AC,MNREGA,2019-20,21.09,2136.94,1695.74,433.06,4.78,0,2133.62,3.4399999999999977,25.16
patnagarh,67,AC,MNREGA,2019-20,68.56,3230.09,2822.16,331.73,0.16,0,3154.06,75.99,60.57
bolangir,68,AC,MNREGA,2019-20,23.56,1334.85,1165.51,143.35,0.39,0,1309.23,25.599999999999998,7.33
titlagarh,69,AC,MNREGA,2019-20,-115.65,2430.04,2110.57,461.98,0.87,0,2573.5,-143.51,53.26
jharsuguda,7,AC,MNREGA,2019-20,0,1590.41,1210.83,514.64,24.25,0,1749.72,-159.29,38.33
kantabanji,70,AC,MNREGA,2019-20,-63.84,3035.55,2761,403.27,3.77,0,3168.03,-132.47,56.92
nuapada,71,AC,MNREGA,2019-20,16.43,2201.88,2075.59,141,8.82,0,2225.43,-23.54,45.72
kharia,72,AC,MNREGA,2019-20,-80.01,2604.4,2442.33,250.69,1.05,0,2694.08,-89.67,85.13
umerkote (st),73,AC,MNREGA,2019-20,-23.689999999999998,2027.96,1569.44,504.37,4.14,0,2077.98,-49.980000000000004,50.94
jharigam (st),74,AC,MNREGA,2019-20,-6.449999999999999,3158.33,2406.01,760.6,4.67,0,3171.27,-12.899999999999999,55.35
nabarangpur (st),75,AC,MNREGA,2019-20,13.49,1999.82,1658.21,335.09000000000003,0.03,0,1993.37,6.489999999999999,51.99
dabugam (st),76,AC,MNREGA,2019-20,-54.75,2147.5099999999998,1740.6200000000001,454.15,3.67,0,2198.5099999999998,-50.99,70.35
lanjigarh (st),77,AC,MNREGA,2019-20,0,1191.61,778.95,414.32,7.5200000000000005,0,1200.72,-9.13,76.39
junagarh,78,AC,MNREGA,2019-20,0,727.96,563.02,157.98,1.69,0,722.78,5.170000000000001,16.91
dharamgarh,79,AC,MNREGA,2019-20,0,504.01,287.33,233.5,0.46,0,521.33,-17.27,7.42
