geo_entity_title,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due,level,scheme,year,SC,ST,Minority,Others,Total
82 baliguda (st),-0.23,1760.72,1409.84,406.32,2.93,0,1819.07,-58.32,11.16,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
83 g. udayagiri (st),0,1323.46,1069.24,315.27,0.17,0,1384.67,-61.15,9.39,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
84 phulbani (st),-0.02,1547.7,1448.73,118.69,0.13,0.49,1568.05,-20.36,6.39,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
85 kantamal,-9.7,1336.09,1189.86,267.77,0.27,0,1457.88,-121.78,22.85,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
86 boudh,-8.8,669.15,581.78,100.45,2.96,0,685.2,-16.06,15.77,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
87 baramba,0,646.3,839,258.8,0.32,0,1098.14,-451.82,11.14,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
88 banki,0,94.88000000000001,320.37,34.1,0.16,0,354.65,-259.79,2.24,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
89 athagarh,0,28.86,187.26,54.54,0,0,241.78,-212.89,1.78,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
9 sundargarh (st),0,2578.36,2058.82,836.99,7.88,0,2903.7,-325.3,17,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
91 choudwar- cuttack,0,0,22.69,8.33,0,0,31.03,-31.03,0.03,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
92 niali (sc),0,149.79,155.47,58.15,0.53,0,214.09,-64.31,2.16,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
93 cuttack sadar (sc),0,28.62,79.31,24.380000000000003,0.07,0,103.77,-75.11,0.51,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
94 salipur,0,103.19,213.92,54.99,1.85,0,270.76,-167.52,5.32,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
95 mahanga,0,129.57,418.65,165.02,0,0,583.67,-454.13,3.61,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
96 patkura,0,117.65,356.35,176.82,0.16999999999999998,0,533.4,-415.77,2.2,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
97 kendrapara (sc),0,121.75,297.37,76.98,0.8400000000000001,0,375.15999999999997,-253.43,2.15,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
98 aul,0,175.68,539.8100000000001,180.4,0,0,720.19,-544.54,4,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
99 rajanagar,0,294.81,577.74,202.7,1.51,0,782,-487.28000000000003,6.72,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
aska,0,6092.1,4389.11,1695.31,1.6199999999999999,0,6086.06,6.030000000000001,42.01,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
balasore,-43.75,1968.91,1683.9,506.23,10.16,0,2200.25,-231.4,8.7,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
bargarh,79.03,4187.41,4103.59,1290.28,27.169999999999998,0,5421.01,-1233.47,25.98,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
berhampur,3.85,5898.31,4093.05,1933.05,0.5,0,6026.67,-128.43,61.21,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
bhadrak (sc),9.56,2145.54,1994.01,289.33,0.61,0,2283.93,-138.51,32,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
bhubaneswar,-12.3,772.64,652.54,310.3,1.97,0,964.82,-192.11,5.62,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
