s_state,s_district,Urban Local Bodies (Municipality/Munipal Corparation/Nac,s_block,s_gp,Total_IGNDPS,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,baleshwar,NA,baleshwar,rasalpur,10.21,161,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,olanda sargan,34.9,162,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,gudu,4.54,163,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,sindhia,18.02,164,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,sargan,4.54,165,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,gopinathpur,11.34,166,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,rasulpur,4.54,167,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,padmapur,9.07,168,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,srikona,7.94,169,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,sasang,1.47,170,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,patrapada,20.03,171,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,anko,8.95,172,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,alomeda,3.4,173,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,panchapada,1.13,174,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,dubulagadi,15.9,175,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,bardhanpur,6.8,176,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,khannagar,6.8,177,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,raisuna,7.94,178,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,baincha,22.3,179,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,chandipur,5.67,180,balasore,NA,NA
odisha,baleshwar,NA,basta,santoshpur,2.31,181,balasore,basta,santoshpur
odisha,baleshwar,NA,basta,mukulisi,1.26,182,balasore,basta,mukulisi
odisha,baleshwar,NA,basta,natakata,2.94,183,balasore,basta,natakata
odisha,baleshwar,NA,basta,nabara,2.73,184,balasore,basta,nabara
odisha,baleshwar,NA,basta,chormara,1.89,185,balasore,basta,chormara
odisha,baleshwar,NA,basta,routpada,1.54,186,balasore,basta,routpada
odisha,baleshwar,NA,basta,gadapada,2.85,187,balasore,basta,gadapada
odisha,baleshwar,NA,basta,darada,0.15,188,balasore,basta,darada
odisha,baleshwar,NA,basta,sadanandapur,1.26,189,balasore,basta,sadanandapur
odisha,baleshwar,NA,basta,putura,2.1,190,balasore,basta,putura
odisha,baleshwar,NA,basta,purusottampur,0.47,191,balasore,basta,purusottampur
odisha,baleshwar,NA,basta,mathani,1.89,192,balasore,basta,mathani
odisha,baleshwar,NA,basta,brahmanda,1.85,193,balasore,basta,brahmanda
odisha,baleshwar,NA,basta,kulida,1.88,194,balasore,basta,kulida
odisha,baleshwar,NA,basta,paunskuli,1.26,195,balasore,basta,paunskuli
odisha,baleshwar,NA,basta,singla,0.63,196,balasore,basta,singla
odisha,baleshwar,NA,basta,sahada,2.67,197,balasore,basta,sahada
odisha,baleshwar,NA,basta,irda,1.05,198,balasore,basta,irda
odisha,baleshwar,NA,basta,baharda,1.3,199,balasore,basta,baharda
odisha,baleshwar,NA,basta,tadada,0.84,200,balasore,basta,tadada
odisha,baleshwar,NA,basta,raghunathpur,3.5,201,balasore,basta,raghunathpur
odisha,baleshwar,NA,basta,naikudi,0.3,202,balasore,basta,naikudi
odisha,baleshwar,NA,basta,kudia,0.84,203,balasore,basta,kudia
odisha,baleshwar,NA,basta,karua,0.84,204,balasore,basta,karua
odisha,baleshwar,NA,basta,patrajhada,1.27,205,balasore,basta,NA
odisha,baleshwar,NA,basta,barunagadia,0.21,206,balasore,basta,barunagadia
odisha,baleshwar,NA,basta,basuchakurai,1.89,207,balasore,basta,basuchakurai
odisha,baleshwar,NA,basta,dudhahansha,1.05,208,balasore,basta,dudhahansa
odisha,baleshwar,NA,basta,kadrayan,1.18,209,balasore,basta,kadarayan
odisha,baleshwar,NA,basta,kainagiri,0.42,210,balasore,basta,kainagari
odisha,baleshwar,NA,basta,vellora,1.05,211,balasore,basta,velora
odisha,baleshwar,NA,bhograi,nahara,1.02,212,balasore,bhograi,nahara
odisha,baleshwar,NA,bhograi,kharidpipal,0.25,213,balasore,bhograi,kharidpipal
odisha,baleshwar,NA,bhograi,mahagab,2.18,214,balasore,bhograi,mahagab
odisha,baleshwar,NA,bhograi,sradhapur,1.39,215,balasore,bhograi,sradhapur
odisha,baleshwar,NA,bhograi,putina,2.54,216,balasore,bhograi,putina
odisha,baleshwar,NA,bhograi,kakhada,1.13,217,balasore,bhograi,kakhada
odisha,baleshwar,NA,bhograi,n. m. padia,2.52,218,balasore,bhograi,n. m. padia
odisha,baleshwar,NA,bhograi,khanthibhanuri,0.86,219,balasore,bhograi,khanthibhanuri
odisha,baleshwar,NA,bhograi,kamarda,1.76,220,balasore,bhograi,NA
odisha,baleshwar,NA,bhograi,bhograi,0.62,221,balasore,bhograi,bhograi
odisha,baleshwar,NA,bhograi,jayrampur,2,222,balasore,bhograi,jayrampur
odisha,baleshwar,NA,bhograi,soharia,0.66,223,balasore,bhograi,soharia
odisha,baleshwar,NA,bhograi,gunasartha,1.55,224,balasore,bhograi,gunasartha
odisha,baleshwar,NA,bhograi,baunsadiha,2.61,225,balasore,bhograi,baunsadiha
odisha,baleshwar,NA,bhograi,balim,0.63,226,balasore,bhograi,balim
odisha,baleshwar,NA,bhograi,gopinathapur,2.65,227,balasore,bhograi,gopinathapur
odisha,baleshwar,NA,bhograi,deula,1.8,228,balasore,bhograi,deula
odisha,baleshwar,NA,bhograi,guneibasan,3.32,229,balasore,bhograi,guneibasan
odisha,baleshwar,NA,bhograi,hooguli,1.38,230,balasore,bhograi,hooguli
odisha,baleshwar,NA,bhograi,dahunda,0.67,231,balasore,bhograi,dahunda
odisha,baleshwar,NA,bhograi,mandarsahi,4.18,232,balasore,bhograi,mandarsahi
odisha,baleshwar,NA,bhograi,nachinda,3.04,233,balasore,bhograi,nachinda
odisha,baleshwar,NA,bhograi,barabatia,2.27,234,balasore,bhograi,barabatia
odisha,baleshwar,NA,bhograi,nimatpur,2.77,235,balasore,bhograi,nimatpur
odisha,baleshwar,NA,bhograi,analia,2.38,236,balasore,bhograi,analia
odisha,baleshwar,NA,bhograi,sultanpur,1.64,237,balasore,bhograi,sultanpur
odisha,baleshwar,NA,bhograi,sankhari,1.76,238,balasore,bhograi,sankhari
odisha,baleshwar,NA,bhograi,t.hazira,1.9,239,balasore,bhograi,t.hazira
odisha,baleshwar,NA,bhograi,bajitpur,1.22,240,balasore,bhograi,bajitpur
odisha,baleshwar,NA,bhograi,kusuda,2.39,241,balasore,bhograi,kusuda
odisha,baleshwar,NA,bhograi,rasolpur,0.97,242,balasore,bhograi,rasolpur
odisha,baleshwar,NA,bhograi,dehurda,3.22,243,balasore,bhograi,dehurda
odisha,baleshwar,NA,bhograi,aruhabrutti-1,1.66,244,balasore,bhograi,aruhabruti-1
odisha,baleshwar,NA,bhograi,daruha,3.16,245,balasore,bhograi,daruha
odisha,baleshwar,NA,bhograi,durpal,1.67,246,balasore,bhograi,durpal
odisha,baleshwar,NA,bhograi,gabgan,5.08,247,balasore,bhograi,gabagan
odisha,baleshwar,NA,bhograi,gochhidategharai,2.41,248,balasore,bhograi,gochhidateghari
odisha,baleshwar,NA,bhograi,jaganathpur,1.64,249,balasore,bhograi,jagannathpur
odisha,baleshwar,NA,bhograi,jaleswarpur,2.3,250,balasore,bhograi,jaleswarpur
odisha,baleshwar,NA,bhograi,jalsohoria,1.39,251,balasore,bhograi,jalsoharia
odisha,baleshwar,NA,bhograi,kachuadi,2.65,252,balasore,bhograi,kachuadi
odisha,baleshwar,NA,bhograi,kulida,1.5,253,balasore,bhograi,kulida
odisha,baleshwar,NA,bhograi,kumbharmuli,1.65,254,balasore,bhograi,kumbharmuli
