s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,bolangir,deogaon,9,dumerpita,0,14.94,14.91,0,0,0,14.91,0.03,0.19,104,bolangir,deogaon,dumerpita
odisha,bolangir,deogaon,10,gaibahal,0.73,33.72,31.88,1.1,0,0,32.99,0.73,0.1,105,bolangir,deogaon,gaibahal
odisha,bolangir,deogaon,11,gourgoth,-0.65,44.85,38.94,6.3,0,0,45.23,-0.38,0.24,106,bolangir,deogaon,gourgoth
odisha,bolangir,deogaon,12,gudkhapala,0,23.88,17.8,6.08,0,0,23.88,0,0.14,107,bolangir,deogaon,gudkhapala
odisha,bolangir,deogaon,13,hatisara,0,11.71,11.71,0,0,0,11.71,0,0.33,108,bolangir,deogaon,hatisara
odisha,bolangir,deogaon,14,jarasingha,1.86,24.55,16.5,6.2,0,0,22.69,1.86,0.01,109,bolangir,deogaon,jarasingha
odisha,bolangir,deogaon,15,kultapada,1.4,42.02,35.15,5.47,0,0,40.62,1.4,0,110,bolangir,deogaon,kultapada
odisha,bolangir,deogaon,16,kuturla,9.82,32.82,22.96,0.04,0,0,23,9.82,0.13,111,bolangir,deogaon,kuturla
odisha,bolangir,deogaon,17,landapathar,5.6,32.08,26.49,0,0,0,26.49,5.6,0.12,112,bolangir,deogaon,landapathar
odisha,bolangir,deogaon,18,mahalei,7.19,39.87,29.56,3.12,0,0,32.68,7.19,0.04,113,bolangir,deogaon,mahalei
odisha,bolangir,deogaon,19,makundpur,0.49,53.63,42.76,10.38,0,0,53.14,0.49,0,114,bolangir,deogaon,makundpur
odisha,bolangir,deogaon,20,ramchandrapur,-0.27,27.28,24.63,2.92,0,0,27.55,-0.27,0.7,115,bolangir,deogaon,ramchandrapur
odisha,bolangir,deogaon,21,salepali,1.81,20.32,18.51,0,0,0,18.51,1.81,1.37,116,bolangir,deogaon,salepali
odisha,bolangir,deogaon,22,sarasmal,1.14,38.57,36.36,1.06,0,0,37.42,1.14,0.08,117,bolangir,deogaon,sarasmal
odisha,bolangir,deogaon,23,sikuan,-0.96,18.55,12.36,7.16,0,0,19.52,-0.96,0.02,118,bolangir,deogaon,sikuan
odisha,bolangir,deogaon,24,singhanmunda,3.59,16.79,13.11,0,0,0,13.11,3.68,0.54,119,bolangir,deogaon,singhanmunda
odisha,bolangir,deogaon,25,sirabahal(udar),-12.07,7.58,19.54,0.1,0,0,19.64,-12.06,0.12,120,bolangir,deogaon,sirabahal(udar)
odisha,bolangir,deogaon,26,uperjhar,0.26,16.67,12.83,3.58,0,0,16.41,0.26,0,121,bolangir,deogaon,uperjhar
odisha,bolangir,gudvella,1,badangomunda,0.31,29.18,24.87,3.98,0,0,28.86,0.32,0.08,122,bolangir,gudvella,badangomunda
odisha,bolangir,gudvella,2,birmunda,0.39,44.38,34.59,9.26,0.13,0,43.98,0.39,0.23,123,bolangir,gudvella,birmunda
odisha,bolangir,gudvella,3,chinched,-0.76,27.83,23.89,4.66,0.04,0,28.58,-0.76,0.22,124,bolangir,gudvella,chinched
odisha,bolangir,gudvella,4,deulgudi,0,58.47,38.44,19.81,0.22,0,58.47,0,0.18,125,bolangir,gudvella,deulgudi
odisha,bolangir,gudvella,5,gambhariguda,0,56.61,45.37,11.12,0.1,0,56.6,0.01,0.05,126,bolangir,gudvella,gambhariguda
odisha,bolangir,gudvella,6,ghuna,1.4,52.27,42.05,8.55,0.08,0,50.69,1.58,0.1,127,bolangir,gudvella,ghuna
odisha,bolangir,gudvella,7,gudvela,0.04,29.54,22.49,6.91,0.02,0,29.42,0.12,0.04,128,bolangir,gudvella,gudvela
odisha,bolangir,gudvella,8,jamut,1.17,44.32,22.15,20.96,0.04,0,43.15,1.17,2.55,129,bolangir,gudvella,jamut
odisha,bolangir,gudvella,9,madhekela,-0.5,42.86,40.55,2.81,0,0,43.36,-0.5,0.09,130,bolangir,gudvella,madhekela
