Name of the State,Name of the District,Name of the Block,Number of Gram Panchayats,Name of the Gram Panchayat,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19
Odisha,Bolangir,Belpara,24,Tentelmunda,-2.410,20.080,22.490,0.000,0.000,0.000,22.480,-2.410,0.060
Odisha,Bolangir,Belpara,,Total,23.360,394.540,334.880,35.180,0.000,0.000,370.060,24.480,5.800
Odisha,Bolangir,Belpara,,Block Level Line Deptt.,-75.860,-75.860,48.330,63.880,0.630,0.430,113.270,-189.130,0.690
Odisha,Bolangir,Belpara,,Po,-15.330,48.550,0.000,NA,NA,34.660,34.660,13.890,NA
Odisha,Bolangir,Belpara,,Grand Total,-67.830,367.230,383.210,99.060,0.630,35.090,517.990,-150.760,6.490
Odisha,Bolangir,Deogaon,1,Arjunpur,-0.270,10.260,10.120,0.190,0.000,0.000,10.310,-0.060,0.120
Odisha,Bolangir,Deogaon,2,Badbahal,-0.070,20.780,15.480,5.350,0.000,0.000,20.830,-0.050,0.010
Odisha,Bolangir,Deogaon,3,Badbandh,1.660,16.850,13.900,1.290,0.000,0.000,15.190,1.660,0.000
Odisha,Bolangir,Deogaon,4,Bandhpara,0.970,11.800,9.510,1.260,0.000,0.000,10.770,1.030,0.190
Odisha,Bolangir,Deogaon,5,Brahmanijore,9.200,21.380,10.450,1.840,0.000,0.000,12.290,9.090,0.720
Odisha,Bolangir,Deogaon,6,Deogaon,0.030,20.120,18.340,1.730,0.000,0.000,20.070,0.050,0.430
Odisha,Bolangir,Deogaon,7,Desandh,-5.840,6.170,11.630,0.000,0.000,0.000,11.630,-5.460,0.440
Odisha,Bolangir,Deogaon,8,Dhandamal,3.940,28.800,17.430,7.410,0.000,0.000,24.840,3.950,0.440
Odisha,Bolangir,Deogaon,9,Dumerpita,0.000,11.070,9.620,1.440,0.000,0.000,11.070,0.000,0.080
Odisha,Bolangir,Deogaon,10,Gaibahal,0.730,22.450,19.370,2.320,0.000,0.000,21.690,0.770,0.110
Odisha,Bolangir,Deogaon,11,Gourgoth,-0.650,27.410,26.500,1.500,0.000,0.000,28.010,-0.600,0.200
Odisha,Bolangir,Deogaon,12,Gudkhapala,0.000,19.830,18.900,0.300,0.000,0.000,19.200,0.640,0.020
Odisha,Bolangir,Deogaon,13,Hatisara,0.000,11.200,8.990,2.000,0.000,0.000,10.990,0.200,0.070
