g_ac_id,g_ac,g_block,g_gp,g_district,g_pc,g_match_id
6,6 brajarajnagar,lakhanpur,palsada,jharsuguda,bargarh,274
6,6 brajarajnagar,lakhanpur,panchagaon,jharsuguda,bargarh,275
6,6 brajarajnagar,lakhanpur,pandari,jharsuguda,bargarh,276
6,6 brajarajnagar,lakhanpur,piplikani,jharsuguda,bargarh,277
6,6 brajarajnagar,lakhanpur,piplimal,jharsuguda,bargarh,278
6,6 brajarajnagar,lakhanpur,pithinda,jharsuguda,bargarh,279
6,6 brajarajnagar,lakhanpur,rampella,jharsuguda,bargarh,280
6,6 brajarajnagar,lakhanpur,remenda,jharsuguda,bargarh,281
6,6 brajarajnagar,lakhanpur,remta,jharsuguda,bargarh,282
6,6 brajarajnagar,lakhanpur,samarbaga,jharsuguda,bargarh,283
6,6 brajarajnagar,lakhanpur,sarandamal,jharsuguda,bargarh,284
6,6 brajarajnagar,lakhanpur,sunari,jharsuguda,bargarh,285
6,6 brajarajnagar,lakhanpur,telenpali,jharsuguda,bargarh,286
6,6 brajarajnagar,lakhanpur,tilia,jharsuguda,bargarh,287
6,6 brajarajnagar,jharsuguda,chandinimal,jharsuguda,bargarh,288
6,6 brajarajnagar,jharsuguda,gourmal,jharsuguda,bargarh,289
6,6 brajarajnagar,jharsuguda,kudopali,jharsuguda,bargarh,290
6,6 brajarajnagar,jharsuguda,loisingh,jharsuguda,bargarh,291
6,6 brajarajnagar,jharsuguda,rajpur,jharsuguda,bargarh,292
7,7 jharsuguda,jharsuguda,badmal,jharsuguda,bargarh,293
7,7 jharsuguda,jharsuguda,dalki,jharsuguda,bargarh,294
7,7 jharsuguda,jharsuguda,durlaga,jharsuguda,bargarh,295
7,7 jharsuguda,jharsuguda,h.katapali,jharsuguda,bargarh,296
7,7 jharsuguda,jharsuguda,hirma,jharsuguda,bargarh,297
7,7 jharsuguda,jharsuguda,jamera,jharsuguda,bargarh,298
7,7 jharsuguda,jharsuguda,katikela,jharsuguda,bargarh,299
7,7 jharsuguda,jharsuguda,malda,jharsuguda,bargarh,300
7,7 jharsuguda,jharsuguda,marakuta,jharsuguda,bargarh,301
7,7 jharsuguda,jharsuguda,patrapali,jharsuguda,bargarh,302
7,7 jharsuguda,jharsuguda,sripura,jharsuguda,bargarh,303
7,7 jharsuguda,jharsuguda,talpatia,jharsuguda,bargarh,304
7,7 jharsuguda,kirmira,arda,jharsuguda,bargarh,305
7,7 jharsuguda,kirmira,bandhpali,jharsuguda,bargarh,306
7,7 jharsuguda,kirmira,bhimjore,jharsuguda,bargarh,307
7,7 jharsuguda,kirmira,g.panpali,jharsuguda,bargarh,308
7,7 jharsuguda,kirmira,jharmunda,jharsuguda,bargarh,309
7,7 jharsuguda,kirmira,kirmira,jharsuguda,bargarh,310
7,7 jharsuguda,kirmira,naxapali,jharsuguda,bargarh,311
7,7 jharsuguda,kirmira,sulahi,jharsuguda,bargarh,312
7,7 jharsuguda,laikera,babuchhipidhi,jharsuguda,bargarh,313
7,7 jharsuguda,laikera,bhatlaida,jharsuguda,bargarh,314
7,7 jharsuguda,laikera,jammal,jharsuguda,bargarh,315
7,7 jharsuguda,laikera,khuntamal,jharsuguda,bargarh,316
7,7 jharsuguda,laikera,kulemura,jharsuguda,bargarh,317
7,7 jharsuguda,laikera,laikera,jharsuguda,bargarh,318
7,7 jharsuguda,laikera,niktimal,jharsuguda,bargarh,319
7,7 jharsuguda,laikera,pakelpada,jharsuguda,bargarh,320
7,7 jharsuguda,laikera,sahaspur,jharsuguda,bargarh,321
7,7 jharsuguda,laikera,sarangloi,jharsuguda,bargarh,322
7,7 jharsuguda,laikera,tileimal,jharsuguda,bargarh,323
7,7 jharsuguda,kolabira,jhirlapali,jharsuguda,bargarh,324
