SL NO. for AC,AC,Blocks,Gram Panchayats,Notified Area Council (NAC),Municipality (M),Municipal Corporation (MC),Outgrowth (OG),Wards of ULBs,District,Sl. No. of PCs,PCs,REMARKS
3,3 Bargarh,Barpali,Kanbar,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Barpali,Katapali,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Barpali,Kusanpuri,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Barpali,Lemda,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Barpali,Mahulpali,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,ADGAON,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,BARDOL,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,BARGAON,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,BARHAGODA,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,BIRMAL,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,Bonda,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,CHAKARKEND,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,DEOGAON,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,DHANGER,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,GAISAMA,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,GOBINDAPUR,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,GUDESIRA,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,JUMURDA,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,KALAPANI,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,KATAPALI,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,KHALIAPALI,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,KHANDTHA,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,KHUNTPALI,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,KURUAN,,,,,,Baragarh,1,Bargarh,
